Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA,week,year,game_id
4,0:18,,,,,,Timeout #1 by Carolina Panthers,,,10.0,2024,140
4,0:18,2.0,10.0,CAR 27,14.0,17.0,Daniel Jones pass complete short right to Theo Johnson for 3 yards (tackle by Dane Jackson),3.23,2.94,10.0,2024,140
4,0:12,,,,,,Timeout #2 by Carolina Panthers,,,10.0,2024,140
4,0:12,3.0,7.0,CAR 24,14.0,17.0,Daniel Jones pass incomplete short right,2.94,1.87,10.0,2024,140
4,0:09,,,,,,Timeout #3 by Carolina Panthers,,,10.0,2024,140
4,0:09,4.0,7.0,CAR 24,17.0,17.0,Graham Gano 42 yard field goal good,1.87,3.0,10.0,2024,140
4,0:05,,,NYG 35,17.0,17.0,"Graham Gano kicks off 62 yards, returned by Raheem Blackshear for 23 yards (tackle by Isaiah Simmons and Tomon Fox). Penalty on Feleipe Franks: Offensive Holding (accepted)",0.0,0.0,10.0,2024,140
,,,,,,,"Giants won the coin toss, Giants to receive the overtime kickoff.",,,10.0,2024,140
OT,10:00,,,CAR 35,17.0,17.0,"Eddy Piñeiro kicks off 60 yards, returned by Eric Gray for 21 yards (tackle by Sam Franklin)",0.0,0.67,10.0,2024,140
OT,9:55,1.0,10.0,NYG 26,17.0,17.0,"Tyrone Tracy up the middle for -2 yards. Tyrone Tracy fumbles (forced by A'Shawn Robinson), recovered by Josey Jewell at NYG-23 (tackle by A'Shawn Robinson)",0.67,-4.04,10.0,2024,140
OT,9:49,1.0,10.0,NYG 23,17.0,17.0,Chuba Hubbard right guard for 1 yard (tackle by Rakeem Nunez-Roches),4.04,3.63,10.0,2024,140
OT,9:22,2.0,9.0,NYG 22,17.0,17.0,Chuba Hubbard right tackle for 2 yards (tackle by Brian Burns and Tyler Nubin),3.63,3.2,10.0,2024,140
OT,8:44,3.0,7.0,NYG 20,17.0,17.0,Chuba Hubbard right guard for 2 yards (tackle by Azeez Ojulari and Dexter Lawrence),3.2,2.3,10.0,2024,140
OT,7:56,,,,,,Timeout #1 by New York Giants,,,10.0,2024,140
OT,7:56,4.0,5.0,NYG 18,17.0,20.0,Eddy Piñeiro 36 yard field goal good,2.3,3.0,10.0,2024,140
