Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA,week,year,game_id
4.0,4:13,2.0,9.0,JAX 9,18.0,7.0,"Josh Allen pass complete short left to Gabriel Davis for 9 yards, touchdown. Penalty on Stefon Diggs: Offensive Pass Interference, 10 yards (accepted) (no play)",4.38,3.07,5.0,2023,66
4.0,4:08,2.0,19.0,JAX 19,18.0,13.0,"Josh Allen pass complete deep left to Gabriel Davis for 19 yards, touchdown. Penalty on Tyson Campbell: Defensive Pass Interference, 15 yards (declined)",3.07,7.0,5.0,2023,66
4.0,4:03,,,JAX 2,18.0,13.0,Two Point Attempt: Josh Allen pass incomplete intended for to Khalil Shakir for no gain,1.0,-1.0,5.0,2023,66
4.0,4:03,,,BUF 35,18.0,13.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,66
4.0,4:03,1.0,10.0,JAX 25,18.0,13.0,Travis Etienne left guard for 6 yards (tackle by Kaiir Elam and Terrel Bernard),0.61,0.87,5.0,2023,66
4.0,3:19,2.0,4.0,JAX 31,18.0,13.0,Travis Etienne left guard for no gain (tackle by Tyrel Dodson and A.J. Epenesa),0.87,0.17,5.0,2023,66
4.0,3:15,,,,,,Timeout #2 by Buffalo Bills,,,5.0,2023,66
4.0,3:15,3.0,4.0,JAX 31,18.0,13.0,Trevor Lawrence pass complete deep right to Calvin Ridley for 32 yards (tackle by Micah Hyde),0.17,3.12,5.0,2023,66
4.0,3:09,1.0,10.0,BUF 37,18.0,13.0,Travis Etienne up the middle for 2 yards (tackle by Tim Settle),3.12,2.84,5.0,2023,66
4.0,3:04,,,,,,Timeout #3 by Buffalo Bills,,,5.0,2023,66
4.0,3:04,2.0,8.0,BUF 35,24.0,13.0,"Travis Etienne left guard for 35 yards, touchdown",2.84,7.0,5.0,2023,66
4.0,2:56,,,BUF 15,25.0,13.0,Brandon McManus kicks extra point good,0.0,0.0,5.0,2023,66
4.0,2:56,,,JAX 35,25.0,13.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,66
4.0,2:56,1.0,10.0,BUF 25,25.0,13.0,Josh Allen pass complete deep left to Deonte Harty for 43 yards (tackle by Rayshawn Jenkins),0.61,3.45,5.0,2023,66
4.0,2:30,1.0,10.0,JAX 32,25.0,13.0,Josh Allen pass complete deep right to Gabriel Davis for 29 yards,3.45,6.51,5.0,2023,66
4.0,2:23,1.0,3.0,JAX 3,25.0,13.0,Josh Allen pass incomplete short right,6.51,5.53,5.0,2023,66
4.0,2:18,2.0,3.0,JAX 3,25.0,19.0,"Josh Allen scrambles right guard for 3 yards, touchdown",5.53,7.0,5.0,2023,66
4.0,2:11,,,JAX 15,25.0,20.0,Tyler Bass kicks extra point good,0.0,0.0,5.0,2023,66
4.0,2:11,,,BUF 35,25.0,20.0,"Tyler Bass kicks onside 14 yards, out of bounds",0.0,2.32,5.0,2023,66
4.0,2:11,1.0,10.0,BUF 49,25.0,20.0,Travis Etienne right guard for 1 yard (tackle by Kendal Vickers and Dane Jackson),2.32,1.92,5.0,2023,66
4.0,2:00,2.0,9.0,BUF 48,25.0,20.0,Travis Etienne right guard for 1 yard (tackle by Ed Oliver),1.92,1.36,5.0,2023,66
4.0,1:16,,,,,,Timeout #1 by Jacksonville Jaguars,,,5.0,2023,66
4.0,1:16,3.0,8.0,BUF 47,25.0,20.0,Travis Etienne right end for 2 yards (tackle by Tyrel Dodson and Dorian Williams),1.36,0.27,5.0,2023,66
4.0,0:30,,,,,,Timeout #2 by Jacksonville Jaguars,,,5.0,2023,66
4.0,0:30,4.0,6.0,BUF 45,25.0,20.0,Logan Cooke punts 40 yards. Deonte Harty fumbles out of bounds,0.27,0.38,5.0,2023,66
4.0,0:22,1.0,10.0,BUF 6,25.0,20.0,"Josh Allen pass complete deep right to Stefon Diggs for 12 yards. Stefon Diggs fumbles (forced by Darious Williams), recovered by Travon Walker at BUF-18",-0.38,-4.37,5.0,2023,66
4.0,0:13,1.0,10.0,BUF 18,25.0,20.0,Trevor Lawrence kneels for -1 yards,4.37,3.67,5.0,2023,66
