Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA,week,year,game_id
4.0,0:37,2.0,10.0,BUF 42,25.0,22.0,"Penalty on Penei Sewell: False Start, 5 yards (accepted) (no play)",2.24,1.57,12.0,2022,165
4.0,0:21,2.0,15.0,BUF 47,25.0,22.0,"Jared Goff pass complete to Amon-Ra St. Brown for 14 yards (tackle by Jordan Poyer) Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Jared Goff pass complete short right to Amon-Ra St. Brown for 14 yards (tackle by Jordan Poyer)",1.57,2.74,12.0,2022,165
4.0,0:32,,,,,,Timeout #1 by Detroit Lions,,,12.0,2022,165
4.0,0:32,3.0,1.0,BUF 33,25.0,22.0,Jared Goff pass incomplete deep right intended for DJ Chark,2.74,1.21,12.0,2022,165
4.0,0:28,4.0,1.0,BUF 33,25.0,25.0,Michael Badgley 51 yard field goal good,1.21,3.0,12.0,2022,165
4.0,0:23,,,DET 35,25.0,25.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,165
4.0,0:23,1.0,10.0,BUF 25,25.0,25.0,Josh Allen pass complete deep middle to Stefon Diggs for 36 yards (tackle by DeShon Elliott),0.61,2.98,12.0,2022,165
4.0,0:16,,,,,,Timeout #1 by Buffalo Bills,,,12.0,2022,165
4.0,0:16,1.0,10.0,DET 39,25.0,25.0,Josh Allen scrambles right tackle for 3 yards (tackle by DeShon Elliott and Kerby Joseph),2.98,2.85,12.0,2022,165
4.0,0:13,,,,,,Timeout #2 by Buffalo Bills,,,12.0,2022,165
4.0,0:13,2.0,7.0,DET 36,25.0,25.0,Josh Allen right end for 9 yards (tackle by C.J. Moore),2.85,3.78,12.0,2022,165
4.0,0:07,,,,,,Timeout #3 by Buffalo Bills,,,12.0,2022,165
4.0,0:07,1.0,10.0,DET 27,28.0,25.0,Tyler Bass 45 yard field goal good,3.78,3.0,12.0,2022,165
4.0,0:02,,,BUF 35,28.0,25.0,"Tyler Bass kicks off 46 yards, returned by Kalif Raymond for 13 yards. Kalif Raymond fumbles, recovered by Kalif Raymond at DET-28, lateral to C.J. Moore for no gain. C.J. Moore fumbles, recovered by Quintin Morris at DET-32",0.0,3.71,12.0,2022,165
