Quarter,Time,Down,ToGo,Location,HOU,MIA,Detail,EPB,EPA,week,year,game_id
4.0,4:11,3.0,10.0,HOU 40,15.0,30.0,Kyle Allen pass complete short middle to Nico Collins for 9 yards (tackle by Eric Rowe),0.37,-0.13,12.0,2022,170
4.0,3:43,4.0,1.0,HOU 49,15.0,30.0,Kyle Allen up the middle for 1 yard (tackle by Christian Wilkins and Duke Riley),-0.13,2.26,12.0,2022,170
4.0,3:19,1.0,10.0,HOU 50,15.0,30.0,Kyle Allen pass complete short middle to Nico Collins for 6 yards (tackle by Jevon Holland and Duke Riley),2.26,2.52,12.0,2022,170
4.0,2:55,2.0,4.0,MIA 44,15.0,30.0,Kyle Allen pass incomplete deep left,2.52,1.82,12.0,2022,170
4.0,2:48,3.0,4.0,MIA 44,15.0,30.0,Kyle Allen pass intended for Chris Moore is intercepted by Verone McKinley at MIA-19 and returned for 17 yards (tackle by Teagan Quitoriano),1.82,-1.33,12.0,2022,170
4.0,2:40,1.0,10.0,MIA 36,15.0,30.0,Myles Gaskin left guard for 3 yards (tackle by Jonathan Owens and Jerry Hughes),1.33,1.2,12.0,2022,170
4.0,2:00,2.0,7.0,MIA 39,15.0,30.0,Myles Gaskin right tackle for 10 yards (tackle by Rasheem Green),1.2,2.19,12.0,2022,170
4.0,1:52,,,,,,Timeout #3 by Houston Texans,,,12.0,2022,170
4.0,1:52,1.0,10.0,MIA 49,15.0,30.0,Skylar Thompson kneels for no gain,2.19,1.65,12.0,2022,170
4.0,1:10,2.0,10.0,MIA 49,15.0,30.0,Skylar Thompson kneels for no gain,1.65,0.96,12.0,2022,170
4.0,0:37,3.0,10.0,MIA 49,15.0,30.0,Skylar Thompson kneels for no gain,0.96,-0.13,12.0,2022,170
