Quarter,Time,Down,ToGo,Location,TAM,CLE,Detail,EPB,EPA,week,year,game_id
OT,7:35,4.0,14.0,TAM 43,17.0,17.0,"Jake Camarda punts 42 yards, returned by Donovan Peoples-Jones for 6 yards (tackle by Ulysees Gilbert)",-0.52,-0.34,12.0,2022,169
OT,7:26,1.0,10.0,CLE 21,17.0,17.0,Nick Chubb left tackle for -2 yards (tackle by Carl Nassib),0.34,-0.53,12.0,2022,169
OT,6:48,2.0,12.0,CLE 19,17.0,17.0,"Jacoby Brissett scrambles for no gain. Penalty on Jedrick Wills: Offensive Holding, 9 yards (accepted) (no play)",-0.53,-1.58,12.0,2022,169
OT,6:16,2.0,21.0,CLE 10,17.0,17.0,Jacoby Brissett pass incomplete deep left intended for David Njoku,-1.58,-2.71,12.0,2022,169
OT,6:10,3.0,21.0,CLE 10,17.0,17.0,Kareem Hunt right tackle for 3 yards (tackle by Devin White),-2.71,-2.49,12.0,2022,169
OT,5:39,4.0,18.0,CLE 13,17.0,17.0,"Corey Bojorquez punts 65 yards, returned by Jaelon Darden for 7 yards (tackle by Anthony Schwartz). Penalty on Zyon McCollum: Illegal Block Above the Waist, 10 yards (accepted)",-2.49,-0.15,12.0,2022,169
OT,5:27,1.0,10.0,TAM 19,17.0,17.0,Rachaad White left guard for 5 yards (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),0.15,0.34,12.0,2022,169
OT,4:48,2.0,5.0,TAM 24,17.0,17.0,Tom Brady pass complete short left to Chris Godwin for 14 yards (tackle by Thomas Graham),0.34,1.47,12.0,2022,169
OT,4:14,1.0,10.0,TAM 38,17.0,17.0,Rachaad White right end for 1 yard (tackle by Jeremiah Owusu-Koramoah),1.47,1.06,12.0,2022,169
OT,3:36,2.0,9.0,TAM 39,17.0,17.0,Tom Brady pass incomplete deep right intended for Mike Evans,1.06,0.37,12.0,2022,169
OT,3:29,3.0,9.0,TAM 39,17.0,17.0,Tom Brady sacked by Myles Garrett for -4 yards,0.37,-1.04,12.0,2022,169
OT,2:53,4.0,13.0,TAM 35,17.0,17.0,Jake Camarda punts 36 yards downed by Pat O'Connor,-1.04,-0.87,12.0,2022,169
OT,2:45,1.0,10.0,CLE 29,17.0,17.0,Jacoby Brissett pass complete short right to Amari Cooper for 17 yards (tackle by Antoine Winfield and Devin White),0.87,1.99,12.0,2022,169
OT,2:00,1.0,10.0,CLE 46,17.0,17.0,Nick Chubb right tackle for 4 yards (tackle by Devin White and Lavonte David),1.99,2.06,12.0,2022,169
OT,1:37,2.0,5.0,CLE 50,17.0,17.0,Nick Chubb left tackle for 2 yards (tackle by Anthony Nelson),2.06,1.62,12.0,2022,169
OT,0:47,3.0,3.0,TAM 48,17.0,17.0,"Jacoby Brissett pass complete to Amari Cooper for 46 yards (tackle by Dee Delaney) Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Jacoby Brissett pass complete deep right to Amari Cooper for 45 yards (tackle by Dee Delaney)",1.62,6.51,12.0,2022,169
OT,0:48,1.0,3.0,TAM 3,17.0,17.0,Nick Chubb right guard for no gain (tackle by Lavonte David),6.51,5.53,12.0,2022,169
OT,0:24,,,,,,Timeout #1 by Cleveland Browns,,,12.0,2022,169
OT,0:24,2.0,3.0,TAM 3,17.0,23.0,"Nick Chubb right guard for 3 yards, touchdown Penalty on TAM: Defensive Offside, 5 yards (declined)",5.53,6.0,12.0,2022,169
