Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA,week,year,game_id
4.0,4:02,4.0,7.0,PIT 43,24.0,17.0,Pressley Harvin punts 50 yards,-0.52,0.38,12.0,2022,180
4.0,3:52,1.0,10.0,IND 7,24.0,17.0,"Matt Ryan pass complete deep middle to Michael Pittman for 28 yards (tackle by Terrell Edmunds and Levi Wallace). Penalty on Levi Wallace: Defensive Pass Interference, 15 yards (declined)",-0.38,1.27,12.0,2022,180
4.0,3:44,1.0,10.0,IND 35,24.0,17.0,Jonathan Taylor up the middle for 4 yards (tackle by Montravius Adams),1.27,1.26,12.0,2022,180
4.0,3:12,2.0,6.0,IND 39,24.0,17.0,Matt Ryan pass complete short middle to Jelani Woods for 17 yards (tackle by Levi Wallace),1.26,2.65,12.0,2022,180
4.0,2:49,1.0,10.0,PIT 44,24.0,17.0,Jonathan Taylor up the middle for 4 yards (tackle by T.J. Watt and Cameron Heyward),2.65,2.65,12.0,2022,180
4.0,2:24,2.0,6.0,PIT 40,24.0,17.0,Matt Ryan pass incomplete deep right intended for Alec Pierce,2.65,1.95,12.0,2022,180
4.0,2:21,3.0,6.0,PIT 40,24.0,17.0,Matt Ryan pass complete short middle to Michael Pittman for 3 yards (tackle by Minkah Fitzpatrick),1.95,0.79,12.0,2022,180
4.0,2:00,4.0,3.0,PIT 37,24.0,17.0,Matt Ryan pass complete short middle to Michael Pittman for 4 yards (tackle by Levi Wallace),0.79,3.38,12.0,2022,180
4.0,1:35,1.0,10.0,PIT 33,24.0,17.0,"Matt Ryan sacked by Alex Highsmith for -7 yards. Matt Ryan fumbles (forced by Alex Highsmith), recovered by Will Fries at PIT-40 (tackle by Alex Highsmith)",3.38,1.89,12.0,2022,180
4.0,1:00,2.0,17.0,PIT 40,24.0,17.0,Matt Ryan scrambles up the middle for 14 yards (tackle by Terrell Edmunds),1.89,3.07,12.0,2022,180
4.0,0:33,3.0,3.0,PIT 26,24.0,17.0,Jonathan Taylor up the middle for no gain (tackle by Alex Highsmith),3.07,1.84,12.0,2022,180
4.0,0:30,,,,,,Timeout #1 by Indianapolis Colts,,,12.0,2022,180
4.0,0:30,4.0,3.0,PIT 26,24.0,17.0,Matt Ryan pass incomplete short left intended for Parris Campbell (defended by Cameron Sutton),1.84,-0.74,12.0,2022,180
4.0,0:24,1.0,10.0,PIT 27,24.0,17.0,Kenny Pickett kneels for -2 yards,0.74,-0.07,12.0,2022,180
