Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA,week,year,game_id
4.0,2:12,2.0,8.0,NYJ 48,23.0,20.0,"Aaron Rodgers pass complete short left to Breece Hall for 2 yards (tackle by A.J. Epenesa). Penalty on Joe Tippmann: Offensive Holding, 10 yards (accepted)",1.72,0.64,6.0,2024,92
4.0,2:04,2.0,16.0,NYJ 40,23.0,20.0,Aaron Rodgers pass incomplete deep middle intended for Jeremy Ruckert (defended by Taylor Rapp),0.64,-0.03,6.0,2024,92
4.0,2:01,3.0,16.0,NYJ 40,23.0,20.0,Aaron Rodgers pass deep right intended for Mike Williams is intercepted by Taron Johnson at BUF-18 and returned for no gain (tackle by Mike Williams),-0.03,-0.04,6.0,2024,92
4.0,1:52,1.0,10.0,BUF 18,23.0,20.0,Ray Davis up the middle for 5 yards (tackle by Brandin Echols and Jamien Sherwood),0.04,0.28,6.0,2024,92
4.0,1:48,,,,,,Timeout #1 by New York Jets,,,6.0,2024,92
4.0,1:48,2.0,5.0,BUF 23,23.0,20.0,Ray Davis left tackle for 1 yard (tackle by Quinnen Williams and Jamien Sherwood),0.28,-0.4,6.0,2024,92
4.0,1:44,,,,,,Timeout #2 by New York Jets,,,6.0,2024,92
4.0,1:44,3.0,4.0,BUF 24,23.0,20.0,Josh Allen left end for 6 yards (tackle by Tony Adams),-0.4,0.94,6.0,2024,92
4.0,0:59,,,,,,Timeout #2 by Buffalo Bills,,,6.0,2024,92
4.0,0:59,1.0,10.0,BUF 30,23.0,20.0,Josh Allen kneels for -1 yards,0.94,0.26,6.0,2024,92
4.0,0:56,,,,,,Timeout #3 by New York Jets,,,6.0,2024,92
4.0,0:56,2.0,11.0,BUF 29,23.0,20.0,Josh Allen kneels for -1 yards,0.26,-0.56,6.0,2024,92
4.0,0:36,3.0,12.0,BUF 28,23.0,20.0,Josh Allen kneels for -1 yards,-0.56,-1.57,6.0,2024,92
