Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA,week,year,game_id
2.0,7:03,3.0,8.0,CIN 43,0.0,17.0,Joe Burrow pass complete short left to Ja'Marr Chase for -2 yards (tackle by Roquan Smith),0.7,-0.65,18.0,2022,259
2.0,6:16,4.0,10.0,CIN 41,0.0,17.0,"Drue Chrisman punts 43 yards, returned by James Proche for 8 yards (tackle by Clay Johnston)",-0.65,-0.54,18.0,2022,259
2.0,6:05,1.0,10.0,BAL 24,0.0,17.0,Kenyan Drake right guard for 2 yards (tackle by Cameron Sample),0.54,0.27,18.0,2022,259
2.0,5:42,2.0,8.0,BAL 26,0.0,17.0,"Anthony Brown pass complete short left to Isaiah Likely for no gain (tackle by Akeem Davis-Gaither). Penalty on Josh Oliver: Illegal Shift, 5 yards (accepted) (no play)",0.27,-0.41,18.0,2022,259
2.0,5:15,2.0,13.0,BAL 21,0.0,17.0,Anthony Brown pass incomplete short right intended for Demarcus Robinson,-0.41,-1.09,18.0,2022,259
2.0,5:12,3.0,13.0,BAL 21,0.0,17.0,"Anthony Brown pass incomplete short right intended for Isaiah Likely. Penalty on Tre Flowers: Face Mask (15 Yards), 15 yards (declined) . Penalty on Trey Hendrickson: Roughing the Passer, 15 yards (accepted) (no play)",-1.09,1.33,18.0,2022,259
2.0,4:54,1.0,10.0,BAL 36,0.0,17.0,Anthony Brown pass complete deep left to Isaiah Likely for 28 yards (tackle by Eli Apple),1.33,3.18,18.0,2022,259
2.0,4:41,1.0,10.0,CIN 36,0.0,17.0,Kenyan Drake left tackle for 1 yard (tackle by D.J. Reader and Joseph Ossai),3.18,2.77,18.0,2022,259
2.0,4:11,2.0,9.0,CIN 35,0.0,17.0,Anthony Brown pass complete short middle to Charlie Kolar for 15 yards (tackle by Logan Wilson),2.77,4.24,18.0,2022,259
2.0,3:42,1.0,10.0,CIN 20,0.0,17.0,Kenyan Drake right guard for 1 yard (tackle by B.J. Hill and Cameron Sample),4.24,3.82,18.0,2022,259
2.0,3:12,2.0,9.0,CIN 19,0.0,17.0,Anthony Brown pass incomplete short right intended for Kenyan Drake (defended by Germaine Pratt),3.82,3.1,18.0,2022,259
2.0,3:04,3.0,9.0,CIN 19,0.0,17.0,Anthony Brown pass complete short middle to Isaiah Likely for 12 yards (tackle by Tre Flowers),3.1,5.6,18.0,2022,259
2.0,2:24,1.0,7.0,CIN 7,0.0,17.0,Kenyan Drake right tackle for 3 yards (tackle by Josh Tupou and Cam Taylor-Britt),5.6,5.34,18.0,2022,259
2.0,2:00,2.0,4.0,CIN 4,6.0,17.0,"Kenyan Drake left tackle for 4 yards, touchdown",5.34,7.0,18.0,2022,259
2.0,1:57,,,CIN 15,7.0,17.0,Justin Tucker kicks extra point good,0.0,0.0,18.0,2022,259
2.0,1:57,,,BAL 35,7.0,17.0,"Justin Tucker kicks off 57 yards, returned by Trayveon Williams for 19 yards (tackle by Del'Shawn Phillips)",0.0,0.74,18.0,2022,259
2.0,1:52,1.0,10.0,CIN 27,7.0,17.0,Joe Burrow pass complete short right to Ja'Marr Chase for 10 yards (tackle by Daryl Worley),0.74,1.4,18.0,2022,259
2.0,1:33,1.0,10.0,CIN 37,7.0,17.0,Joe Burrow pass complete short right to Hayden Hurst for -2 yards (tackle by Patrick Queen),1.4,0.59,18.0,2022,259
2.0,1:07,2.0,12.0,CIN 35,7.0,17.0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Daryl Worley),0.59,-0.1,18.0,2022,259
2.0,1:02,3.0,12.0,CIN 35,7.0,17.0,Joe Burrow pass complete short left to Samaje Perine for 4 yards (tackle by Roquan Smith),-0.1,-0.78,18.0,2022,259
2.0,0:55,,,,,,Timeout #1 by Baltimore Ravens,,,18.0,2022,259
2.0,0:55,4.0,8.0,CIN 39,7.0,17.0,Drue Chrisman punts 56 yards out of bounds,-0.78,0.38,18.0,2022,259
2.0,0:47,1.0,10.0,BAL 5,7.0,17.0,Kenyan Drake left tackle for 1 yard (tackle by Zachary Carter and Germaine Pratt),-0.38,-0.71,18.0,2022,259
2.0,0:35,,,,,,Timeout #1 by Cincinnati Bengals,,,18.0,2022,259
2.0,0:35,2.0,9.0,BAL 6,7.0,17.0,Anthony Brown pass incomplete short left intended for Sammy Watkins,-0.71,-1.3,18.0,2022,259
2.0,0:36,3.0,9.0,BAL 6,7.0,23.0,"Anthony Brown sacked by Trey Hendrickson for -6 yards. Anthony Brown fumbles (forced by Trey Hendrickson), recovered by Joseph Ossai in end zone, touchdown",-1.3,-7.0,18.0,2022,259
2.0,0:30,,,BAL 15,7.0,24.0,Evan McPherson kicks extra point good,0.0,0.0,18.0,2022,259
2.0,0:30,,,CIN 35,7.0,24.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,259
2.0,0:30,1.0,10.0,BAL 25,7.0,24.0,Justice Hill left end for 9 yards (tackle by Tre Flowers),0.61,1.28,18.0,2022,259
2.0,0:22,,,,,,Timeout #2 by Cincinnati Bengals,,,18.0,2022,259
2.0,0:22,2.0,1.0,BAL 34,7.0,24.0,Anthony Brown pass incomplete short left intended for James Proche,1.28,0.56,18.0,2022,259
2.0,0:19,3.0,1.0,BAL 34,7.0,24.0,Justice Hill right guard for 3 yards (tackle by Sam Hubbard and Mike Hilton),0.56,1.4,18.0,2022,259
2.0,0:14,,,,,,Timeout #2 by Baltimore Ravens,,,18.0,2022,259
2.0,0:14,1.0,10.0,BAL 37,7.0,24.0,Anthony Brown pass incomplete short left intended for Demarcus Robinson,1.4,0.86,18.0,2022,259
2.0,0:11,2.0,10.0,BAL 37,7.0,24.0,Anthony Brown pass incomplete deep right intended for Sammy Watkins,0.86,0.17,18.0,2022,259
2.0,0:05,3.0,10.0,BAL 37,7.0,24.0,Justice Hill right tackle for 12 yards (tackle by Jessie Bates and Sam Hubbard),0.17,2.19,18.0,2022,259
3.0,15:00,,,BAL 35,7.0,24.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,259
3.0,15:00,1.0,10.0,CIN 25,7.0,24.0,Joe Burrow pass complete short left to Tyler Boyd for 3 yards (tackle by Kyle Hamilton),0.61,0.47,18.0,2022,259
3.0,14:30,2.0,7.0,CIN 28,7.0,24.0,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase (defended by Marcus Williams),0.47,-0.23,18.0,2022,259
3.0,14:25,3.0,7.0,CIN 28,7.0,24.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Kyle Hamilton),-0.23,-1.5,18.0,2022,259
3.0,14:21,4.0,7.0,CIN 28,7.0,24.0,"Drue Chrisman punts 42 yards downed by Akeem Davis-Gaither. Penalty on Cal Adomitis: Offensive Holding, 10 yards (accepted)",-1.5,-1.6,18.0,2022,259
3.0,14:11,1.0,10.0,BAL 40,7.0,24.0,Justice Hill left tackle for no gain (tackle by Sam Hubbard),1.6,1.05,18.0,2022,259
3.0,13:33,2.0,10.0,BAL 40,7.0,24.0,Anthony Brown pass complete short middle to Isaiah Likely for 5 yards (tackle by Eli Apple),1.05,1.03,18.0,2022,259
3.0,12:57,3.0,5.0,BAL 45,7.0,24.0,Anthony Brown pass incomplete deep right intended for James Proche. Penalty on James Proche: Illegal Touch Pass (accepted),1.03,-0.39,18.0,2022,259
3.0,12:39,4.0,5.0,BAL 45,7.0,24.0,"Jordan Stout punts 49 yards, returned by Trent Taylor for 3 yards (tackle by Kyle Hamilton)",-0.39,0.38,18.0,2022,259
3.0,12:23,1.0,10.0,CIN 9,7.0,24.0,Joe Mixon left tackle for no gain (tackle by Roquan Smith and Kyle Hamilton),-0.38,-0.78,18.0,2022,259
