Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA,week,year,game_id
4.0,2:00,4.0,15.0,MIN 42,27.0,24.0,Jason Myers 60 yard field goal no good,0.46,-2.26,16.0,2024,235
4.0,1:55,1.0,10.0,MIN 50,27.0,24.0,Aaron Jones right tackle for 1 yard (tackle by Julian Love),2.26,1.85,16.0,2024,235
4.0,1:51,,,,,,Timeout #2 by Seattle Seahawks,,,16.0,2024,235
4.0,1:51,2.0,9.0,SEA 49,27.0,24.0,Aaron Jones left tackle for 2 yards (tackle by Uchenna Nwosu and Tyrice Knight),1.85,1.42,16.0,2024,235
4.0,1:47,,,,,,Timeout #3 by Seattle Seahawks,,,16.0,2024,235
4.0,1:47,3.0,7.0,SEA 47,27.0,24.0,Sam Darnold sacked by Derick Hall for -8 yards,1.42,-0.39,16.0,2024,235
4.0,1:01,,,,,,Timeout #1 by Minnesota Vikings,,,16.0,2024,235
4.0,1:01,4.0,15.0,MIN 45,27.0,24.0,Ryan Wright punts 38 yards out of bounds,-0.39,0.06,16.0,2024,235
4.0,0:55,1.0,10.0,SEA 17,27.0,24.0,"Penalty on Abraham Lucas: False Start, 5 yards (accepted) (no play)",-0.06,-0.51,16.0,2024,235
4.0,0:55,1.0,15.0,SEA 12,27.0,24.0,Geno Smith pass deep right intended for D.K. Metcalf is intercepted by Theo Jackson at SEA-32 and returned for 3 yards,-0.51,-3.64,16.0,2024,235
4.0,0:49,1.0,10.0,SEA 29,27.0,24.0,"Penalty on Dallas Turner: Taunting / Offense, 15 yards (accepted) (no play)",3.64,2.65,16.0,2024,235
4.0,0:49,1.0,10.0,SEA 44,27.0,24.0,Sam Darnold kneels for -1 yards,2.65,1.98,16.0,2024,235
4.0,0:31,2.0,11.0,SEA 45,27.0,24.0,Sam Darnold kneels for -1 yards,1.98,1.16,16.0,2024,235
