Quarter,Time,Down,ToGo,Location,JAX,LVR,Detail,EPB,EPA,week,year,game_id
4.0,2:52,4.0,10.0,JAX 48,14.0,19.0,"AJ Cole punts 41 yards, fair catch by Devin Duvernay at JAC-7",0.07,0.38,16.0,2024,237
4.0,2:44,1.0,10.0,JAX 7,14.0,19.0,Mac Jones pass complete short middle to Brian Thomas for 4 yards (tackle by Divine Deablo),-0.38,-0.49,16.0,2024,237
4.0,2:22,2.0,6.0,JAX 11,14.0,19.0,Mac Jones pass complete short right to Luke Farrell for 2 yards (tackle by Jack Jones),-0.49,-0.72,16.0,2024,237
4.0,2:02,3.0,4.0,JAX 13,14.0,19.0,Mac Jones pass complete short left to Luke Farrell for 6 yards (tackle by Isaiah Pola-Mao),-0.72,0.15,16.0,2024,237
4.0,1:57,1.0,10.0,JAX 19,14.0,19.0,Mac Jones pass complete deep right to Brian Thomas for 20 yards (tackle by Jonah Laulu),0.15,1.53,16.0,2024,237
4.0,1:30,1.0,10.0,JAX 39,14.0,19.0,Mac Jones pass incomplete short right,1.53,0.99,16.0,2024,237
4.0,1:27,2.0,10.0,JAX 39,14.0,19.0,Mac Jones pass complete short middle to Brian Thomas for 9 yards (tackle by Isaiah Pola-Mao),0.99,1.49,16.0,2024,237
4.0,1:09,3.0,1.0,JAX 48,14.0,19.0,Mac Jones pass incomplete short middle,1.49,-0.19,16.0,2024,237
4.0,1:05,4.0,1.0,JAX 48,14.0,19.0,"Travis Etienne left guard for 11 yards (tackle by Decamerion Richardson and Thomas Harper). Penalty on Cole Van Lanen: Offensive Holding, 10 yards (accepted) (no play)",-0.19,-0.85,16.0,2024,237
4.0,1:00,4.0,11.0,JAX 38,14.0,19.0,Mac Jones pass complete short right to D'Ernest Johnson for 8 yards (tackle by Tre'von Moehrig),-0.85,-2.52,16.0,2024,237
4.0,0:52,1.0,10.0,JAX 46,14.0,19.0,Alexander Mattison right guard for 3 yards (tackle by Foyesade Oluokun and Travon Walker),2.52,2.38,16.0,2024,237
4.0,0:47,,,,,,Timeout #2 by Jacksonville Jaguars,,,16.0,2024,237
4.0,0:47,2.0,7.0,JAX 43,14.0,19.0,Aidan O'Connell kneels for -3 yards,2.38,1.29,16.0,2024,237
4.0,0:44,,,,,,Timeout #3 by Jacksonville Jaguars,,,16.0,2024,237
4.0,0:44,3.0,10.0,JAX 46,14.0,19.0,Aidan O'Connell kneels for -5 yards,1.29,-0.13,16.0,2024,237
