Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA,week,year,game_id
4.0,5:31,3.0,1.0,NYJ 38,27.0,12.0,Joe Burrow up the middle for 2 yards (tackle by Quinnen Williams),2.41,3.18,3.0,2022,37
4.0,4:48,1.0,10.0,NYJ 36,27.0,12.0,Samaje Perine up the middle for 7 yards (tackle by Lamarcus Joyner and Quinnen Williams),3.18,3.58,3.0,2022,37
4.0,4:04,2.0,3.0,NYJ 29,27.0,12.0,Samaje Perine right guard for 4 yards (tackle by Jermaine Johnson and Jordan Whitehead),3.58,3.91,3.0,2022,37
4.0,3:15,1.0,10.0,NYJ 25,27.0,12.0,Joe Burrow left end for -6 yards (tackle by D.J. Reed),3.91,2.55,3.0,2022,37
4.0,3:11,,,,,,Timeout #2 by New York Jets,,,3.0,2022,37
4.0,3:11,2.0,16.0,NYJ 31,27.0,12.0,Samaje Perine up the middle for 2 yards (tackle by Marcell Harris and Lamarcus Joyner),2.55,2.15,3.0,2022,37
4.0,3:06,,,,,,Timeout #3 by New York Jets,,,3.0,2022,37
4.0,3:06,3.0,14.0,NYJ 29,27.0,12.0,Samaje Perine right tackle for 6 yards (tackle by Jordan Whitehead and C.J. Mosley),2.15,1.93,3.0,2022,37
4.0,2:20,4.0,8.0,NYJ 23,27.0,12.0,Evan McPherson 41 yard field goal no good,1.93,-1.0,3.0,2022,37
4.0,2:15,1.0,10.0,NYJ 31,27.0,12.0,Joe Flacco pass complete deep left to Elijah Moore for 18 yards,1.0,2.19,3.0,2022,37
4.0,2:10,1.0,10.0,NYJ 49,27.0,12.0,Joe Flacco pass complete short right to Tyler Conklin for 4 yards (tackle by Tre Flowers),2.19,2.19,3.0,2022,37
4.0,2:00,2.0,6.0,CIN 47,27.0,12.0,Joe Flacco pass complete short right to Tyler Conklin for 21 yards (tackle by Eli Apple),2.19,3.84,3.0,2022,37
4.0,1:51,1.0,10.0,CIN 26,27.0,12.0,Joe Flacco pass complete short left to Garrett Wilson for -1 yards (tackle by Mike Hilton),3.84,3.16,3.0,2022,37
4.0,1:27,2.0,11.0,CIN 27,27.0,12.0,Joe Flacco pass complete short right to Tyler Conklin for 10 yards (tackle by Logan Wilson),3.16,3.95,3.0,2022,37
4.0,1:07,3.0,1.0,CIN 17,27.0,12.0,Joe Flacco pass incomplete deep left intended for Garrett Wilson,3.95,2.46,3.0,2022,37
4.0,1:02,4.0,1.0,CIN 17,27.0,12.0,Joe Flacco pass short middle intended for Breece Hall is intercepted by Jessie Bates at CIN-3 and returned for 1 yard,2.46,0.38,3.0,2022,37
4.0,0:55,1.0,10.0,CIN 4,27.0,12.0,Joe Burrow kneels for no gain,-0.38,-0.78,3.0,2022,37
4.0,0:33,2.0,10.0,CIN 4,27.0,12.0,Joe Burrow kneels for -1 yards,-0.78,-1.54,3.0,2022,37
