Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA,week,year,game_id
4.0,9:39,1.0,10.0,ARI 33,20.0,9.0,Cam Akers up the middle for 12 yards (tackle by Byron Murphy and Budda Baker),3.38,4.17,3.0,2022,45
4.0,9:02,1.0,10.0,ARI 21,20.0,9.0,Matthew Stafford pass complete short right to Ben Skowronek for 4 yards (tackle by Byron Murphy),4.17,4.2,3.0,2022,45
4.0,8:19,2.0,6.0,ARI 17,20.0,9.0,Matthew Stafford pass complete short left to Allen Robinson for 15 yards (tackle by Jalen Thompson),4.2,6.74,3.0,2022,45
4.0,7:30,1.0,2.0,ARI 2,20.0,9.0,Cam Akers up the middle for 1 yard (tackle by Michael Dogbe and Leki Fotu),6.74,5.91,3.0,2022,45
4.0,6:46,2.0,1.0,ARI 1,20.0,9.0,"Cam Akers up the middle for -2 yards. Cam Akers fumbles (forced by Budda Baker), recovered by Jalen Thompson at ARI-3",5.91,0.38,3.0,2022,45
4.0,6:39,1.0,10.0,ARI 3,20.0,9.0,James Conner up the middle for 10 yards (tackle by Bobby Wagner),-0.38,-0.32,3.0,2022,45
4.0,6:13,,,,,,Timeout #1 by Los Angeles Rams,,,3.0,2022,45
4.0,6:13,1.0,10.0,ARI 13,20.0,9.0,Kyler Murray pass incomplete short right intended for Andre Baccellia,-0.32,-0.77,3.0,2022,45
4.0,6:08,2.0,10.0,ARI 13,20.0,9.0,Kyler Murray pass complete short left to Marquise Brown for 8 yards (tackle by Grant Haley),-0.77,-0.47,3.0,2022,45
4.0,5:40,3.0,2.0,ARI 21,20.0,9.0,James Conner up the middle for 2 yards (tackle by Ernest Jones and Leonard Floyd),-0.47,0.48,3.0,2022,45
4.0,5:06,1.0,10.0,ARI 23,20.0,9.0,Kyler Murray pass complete short right to Zach Ertz for 5 yards (tackle by Aaron Donald),0.48,0.61,3.0,2022,45
4.0,4:39,2.0,5.0,ARI 28,20.0,9.0,Kyler Murray pass complete short right to Andre Baccellia for 10 yards (tackle by Derion Kendrick),0.61,1.47,3.0,2022,45
4.0,4:19,1.0,10.0,ARI 38,20.0,9.0,Kyler Murray scrambles right end for 2 yards (tackle by Nick Scott),1.47,1.19,3.0,2022,45
4.0,3:52,2.0,8.0,ARI 40,20.0,9.0,Kyler Murray pass incomplete short right intended for Eno Benjamin,1.19,0.5,3.0,2022,45
4.0,3:43,3.0,8.0,ARI 40,20.0,9.0,"Penalty on Zach Ertz: False Start, 5 yards (accepted) (no play)",0.5,-0.16,3.0,2022,45
4.0,3:43,3.0,13.0,ARI 35,20.0,9.0,Kyler Murray scrambles left end for 6 yards (tackle by Ernest Jones and Justin Hollins),-0.16,-0.65,3.0,2022,45
4.0,3:05,4.0,7.0,ARI 41,20.0,9.0,Kyler Murray pass complete short left to Marquise Brown for 14 yards (tackle by Derion Kendrick),-0.65,2.59,3.0,2022,45
4.0,2:26,1.0,10.0,LAR 45,20.0,9.0,Kyler Murray pass incomplete short right,2.59,2.04,3.0,2022,45
4.0,2:22,2.0,10.0,LAR 45,20.0,9.0,Kyler Murray pass complete short middle to Zach Ertz for 12 yards (tackle by Nick Scott),2.04,3.38,3.0,2022,45
4.0,2:00,1.0,10.0,LAR 33,20.0,9.0,Kyler Murray pass complete short left to Greg Dortch for 14 yards (tackle by Taylor Rapp),3.38,4.31,3.0,2022,45
4.0,1:42,1.0,10.0,LAR 19,20.0,9.0,Kyler Murray pass complete short right to Greg Dortch for no gain (tackle by Bobby Wagner),4.31,3.75,3.0,2022,45
4.0,1:18,2.0,10.0,LAR 19,20.0,9.0,Kyler Murray pass incomplete short right intended for Zach Ertz,3.75,3.03,3.0,2022,45
4.0,1:16,,,,,,Timeout #2 by Los Angeles Rams,,,3.0,2022,45
4.0,1:16,3.0,10.0,LAR 19,20.0,9.0,Kyler Murray pass complete short right to Eno Benjamin for 6 yards (tackle by Ernest Jones),3.03,2.64,3.0,2022,45
4.0,1:10,,,,,,Timeout #2 by Arizona Cardinals,,,3.0,2022,45
4.0,1:10,4.0,4.0,LAR 13,20.0,12.0,Matt Prater 31 yard field goal good,2.64,3.0,3.0,2022,45
4.0,1:07,,,ARI 35,20.0,12.0,"Matt Prater kicks onside 12 yards, returned by Tyler Higbee for no gain",0.0,2.46,3.0,2022,45
4.0,1:06,1.0,10.0,ARI 47,20.0,12.0,Matthew Stafford kneels for -1 yards,2.46,1.78,3.0,2022,45
4.0,0:29,2.0,11.0,ARI 48,20.0,12.0,Matthew Stafford kneels for -1 yards,1.78,0.96,3.0,2022,45
