Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA,week,year,game_id
2.0,3:47,1.0,10.0,MIA 14,14.0,14.0,Chase Edmonds left tackle for 6 yards (tackle by Tremaine Edmunds),-0.28,0.15,3.0,2022,34
2.0,3:09,2.0,4.0,MIA 20,14.0,14.0,Chase Edmonds up the middle for 1 yard (tackle by Tim Settle and Taron Johnson),0.15,-0.56,3.0,2022,34
2.0,2:29,3.0,3.0,MIA 21,14.0,14.0,"Tua Tagovailoa pass complete to Jaylen Waddle for 8 yards (tackle by Jaquan Johnson). Penalty on Matt Milano: Roughing the Passer, 15 yards (accepted)",-0.56,1.86,3.0,2022,34
2.0,2:00,1.0,10.0,MIA 44,14.0,14.0,Teddy Bridgewater pass incomplete short middle intended for Jaylen Waddle (defended by Boogie Basham),1.86,1.32,3.0,2022,34
2.0,1:57,2.0,10.0,MIA 44,14.0,14.0,Teddy Bridgewater sacked by Gregory Rousseau for -8 yards,1.32,-0.43,3.0,2022,34
2.0,1:53,,,,,,Timeout #3 by Buffalo Bills,,,3.0,2022,34
2.0,1:53,3.0,18.0,MIA 36,14.0,14.0,Teddy Bridgewater pass incomplete intended for Tyreek Hill,-0.43,-0.98,3.0,2022,34
2.0,1:50,4.0,18.0,MIA 36,14.0,14.0,"Thomas Morstead punts 48 yards, returned by Jamison Crowder for 14 yards (tackle by Keion Crossen)",-0.98,-0.94,3.0,2022,34
2.0,1:38,1.0,10.0,BUF 30,14.0,14.0,Josh Allen pass complete short right to Stefon Diggs for 6 yards (tackle by Eric Rowe),0.94,1.2,3.0,2022,34
2.0,1:16,2.0,4.0,BUF 36,14.0,14.0,Josh Allen pass complete short left to Devin Singletary for 9 yards (tackle by Nik Needham),1.2,1.93,3.0,2022,34
2.0,0:53,1.0,10.0,BUF 45,14.0,14.0,Josh Allen pass complete short middle to Dawson Knox for 6 yards (tackle by Kader Kohou),1.93,2.19,3.0,2022,34
2.0,0:34,2.0,4.0,MIA 49,14.0,14.0,Josh Allen pass incomplete deep left intended for Jamison Crowder (defended by Brandon Jones),2.19,1.49,3.0,2022,34
2.0,0:28,3.0,4.0,MIA 49,14.0,14.0,Josh Allen pass complete to Isaiah McKenzie for 8 yards (tackle by Duke Riley),1.49,2.85,3.0,2022,34
2.0,0:14,1.0,10.0,MIA 41,14.0,14.0,Josh Allen spiked the ball,2.85,2.31,3.0,2022,34
2.0,0:14,2.0,10.0,MIA 41,14.0,14.0,Josh Allen pass complete short middle to Isaiah McKenzie for 7 yards (tackle by Kader Kohou),2.31,2.54,3.0,2022,34
2.0,0:02,3.0,3.0,MIA 34,14.0,14.0,Josh Allen pass complete short right to Stefon Diggs for 9 yards (tackle by Jevon Holland),2.54,2.72,3.0,2022,34
3.0,15:00,,,BUF 35,14.0,14.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,34
3.0,15:00,1.0,10.0,MIA 25,14.0,14.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 22 yards (tackle by Damar Hamlin),0.61,2.06,3.0,2022,34
3.0,14:18,1.0,10.0,MIA 47,14.0,14.0,Raheem Mostert up the middle for -6 yards (tackle by Damar Hamlin and Tremaine Edmunds),2.06,0.71,3.0,2022,34
3.0,13:38,2.0,16.0,MIA 41,14.0,14.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,0.71,0.04,3.0,2022,34
3.0,13:33,3.0,16.0,MIA 41,14.0,14.0,"Tua Tagovailoa pass complete short left to Durham Smythe for 5 yards (tackle by Kaiir Elam and Taron Johnson). Penalty on Liam Eichenberg: Offensive Holding, 10 yards (declined)",0.04,-0.32,3.0,2022,34
3.0,13:14,4.0,11.0,MIA 46,14.0,14.0,Thomas Morstead punts 52 yards downed by Keion Crossen,-0.32,0.38,3.0,2022,34
3.0,13:02,1.0,10.0,BUF 2,14.0,14.0,Josh Allen pass incomplete short middle,-0.38,-0.78,3.0,2022,34
3.0,12:56,2.0,10.0,BUF 2,14.0,14.0,Devin Singletary left guard for 3 yards (tackle by Elandon Roberts and Zach Sieler),-0.78,-1.07,3.0,2022,34
3.0,12:19,3.0,7.0,BUF 5,14.0,14.0,Josh Allen pass complete short right to Isaiah McKenzie for 7 yards (tackle by Duke Riley),-1.07,-0.35,3.0,2022,34
3.0,11:36,1.0,10.0,BUF 12,14.0,14.0,Josh Allen pass incomplete short left intended for Devin Singletary,-0.35,-0.78,3.0,2022,34
3.0,11:33,2.0,10.0,BUF 12,14.0,14.0,Josh Allen scrambles for 19 yards (tackle by Brandon Jones),-0.78,1.0,3.0,2022,34
3.0,10:51,1.0,10.0,BUF 31,14.0,14.0,Josh Allen pass complete short right to James Cook for 8 yards (tackle by Nik Needham and Duke Riley),1.0,1.54,3.0,2022,34
3.0,10:19,2.0,2.0,BUF 39,14.0,14.0,James Cook right tackle for 3 yards (tackle by Emmanuel Ogbah),1.54,1.73,3.0,2022,34
3.0,9:49,1.0,10.0,BUF 42,14.0,14.0,Josh Allen pass incomplete deep middle intended for Jamison Crowder (defended by Jerome Baker),1.73,1.19,3.0,2022,34
3.0,9:42,2.0,10.0,BUF 42,14.0,14.0,Josh Allen pass complete short right to Dawson Knox for 6 yards (tackle by Christian Wilkins),1.19,1.29,3.0,2022,34
3.0,8:59,3.0,4.0,BUF 48,14.0,14.0,Josh Allen pass complete short right to Quintin Morris for 15 yards (tackle by Jevon Holland),1.29,3.12,3.0,2022,34
3.0,8:15,1.0,10.0,MIA 37,14.0,14.0,Josh Allen pass complete short middle to Devin Singletary for 4 yards (tackle by Jerome Baker),3.12,3.11,3.0,2022,34
3.0,7:35,2.0,6.0,MIA 33,14.0,14.0,Josh Allen scrambles right end for 5 yards (tackle by Kader Kohou and Brandon Jones),3.11,3.07,3.0,2022,34
3.0,6:54,3.0,1.0,MIA 28,14.0,14.0,Josh Allen pass complete short middle to Gabriel Davis for 11 yards (tackle by Jevon Holland),3.07,4.44,3.0,2022,34
3.0,6:11,1.0,10.0,MIA 17,14.0,14.0,Devin Singletary up the middle for -2 yards (tackle by Jaelan Phillips),4.44,3.6,3.0,2022,34
3.0,5:33,2.0,12.0,MIA 19,14.0,14.0,Josh Allen pass complete short left to James Cook for 11 yards (tackle by Jevon Holland and Duke Riley),3.6,4.8,3.0,2022,34
3.0,4:59,3.0,1.0,MIA 8,14.0,14.0,Josh Allen scrambles left end for 2 yards (tackle by Trey Flowers),4.8,5.83,3.0,2022,34
3.0,4:23,1.0,6.0,MIA 6,14.0,14.0,"Penalty on Greg Van Roten: False Start, 5 yards (accepted) (no play)",5.83,4.77,3.0,2022,34
3.0,4:02,1.0,11.0,MIA 11,14.0,14.0,Josh Allen pass incomplete short left,4.77,4.02,3.0,2022,34
