Quarter,Time,Down,ToGo,Location,ATL,TEN,Detail,EPB,EPA,week,year,game_id
4.0,2:36,,,,,,Timeout #2 by Atlanta Falcons,,,8.0,2023,111
4.0,2:36,3.0,4.0,TEN 46,23.0,28.0,Will Levis sacked by Arnold Ebiketie for -10 yards,1.16,-0.98,8.0,2023,111
4.0,2:32,,,,,,Timeout #3 by Atlanta Falcons,,,8.0,2023,111
4.0,2:32,4.0,14.0,TEN 36,23.0,28.0,Ryan Stonehouse punts 51 yards downed by Chris Moore,-0.98,0.32,8.0,2023,111
4.0,2:19,1.0,10.0,ATL 13,23.0,28.0,Taylor Heinicke pass incomplete short left intended for Kyle Pitts (defended by Denico Autry),-0.32,-0.77,8.0,2023,111
4.0,2:16,2.0,10.0,ATL 13,23.0,28.0,Taylor Heinicke pass complete short right to Van Jefferson for 6 yards (tackle by Harold Landry),-0.77,-0.71,8.0,2023,111
4.0,2:00,3.0,4.0,ATL 19,23.0,28.0,Taylor Heinicke scrambles up the middle for 3 yards (tackle by Harold Landry),-0.71,-1.9,8.0,2023,111
4.0,1:34,4.0,1.0,ATL 22,23.0,28.0,Taylor Heinicke pass incomplete short middle intended for Van Jefferson,-1.9,-4.11,8.0,2023,111
4.0,1:30,1.0,10.0,ATL 22,23.0,28.0,Will Levis kneels for -1 yards,4.11,3.43,8.0,2023,111
4.0,0:50,2.0,11.0,ATL 23,23.0,28.0,Will Levis kneels for -1 yards,3.43,2.61,8.0,2023,111
4.0,0:32,3.0,12.0,ATL 24,23.0,28.0,Will Levis kneels for -1 yards,2.61,1.8,8.0,2023,111
