Quarter,Time,Down,ToGo,Location,NOR,IND,Detail,EPB,EPA,week,year,game_id
4.0,3:05,2.0,9.0,NOR 34,35.0,27.0,"Penalty on Juwan Johnson: False Start, 5 yards (accepted) (no play)",0.73,0.05,8.0,2023,112
4.0,3:05,2.0,14.0,NOR 29,35.0,27.0,Alvin Kamara up the middle for 1 yard (tackle by Samson Ebukam and Zaire Franklin),0.05,-0.49,8.0,2023,112
4.0,3:00,,,,,,Timeout #1 by Indianapolis Colts,,,8.0,2023,112
4.0,3:00,3.0,13.0,NOR 30,35.0,27.0,Derek Carr pass complete deep left to Rashid Shaheed for 51 yards (tackle by Tony Brown),-0.49,4.31,8.0,2023,112
4.0,2:50,,,,,,Timeout #2 by Indianapolis Colts,,,8.0,2023,112
4.0,2:50,1.0,10.0,IND 19,35.0,27.0,Taysom Hill left tackle for 5 yards (tackle by Rodney Thomas),4.31,4.53,8.0,2023,112
4.0,2:09,2.0,5.0,IND 14,35.0,27.0,Taysom Hill left tackle for 5 yards (tackle by Shaquille Leonard and Samson Ebukam),4.53,5.14,8.0,2023,112
4.0,2:00,1.0,9.0,IND 9,35.0,27.0,Alvin Kamara left guard for 4 yards (tackle by Shaquille Leonard and Julian Blackmon),5.14,5.15,8.0,2023,112
4.0,1:55,,,,,,Timeout #3 by Indianapolis Colts,,,8.0,2023,112
4.0,1:55,2.0,5.0,IND 5,35.0,27.0,Alvin Kamara left guard for -2 yards (tackle by Dayo Odeyingbo),5.15,3.81,8.0,2023,112
4.0,1:04,3.0,7.0,IND 7,35.0,27.0,Taysom Hill left tackle for -2 yards (tackle by Julian Blackmon and Zaire Franklin),3.81,2.83,8.0,2023,112
4.0,0:27,,,,,,Timeout #2 by New Orleans Saints,,,8.0,2023,112
4.0,0:27,4.0,9.0,IND 9,38.0,27.0,Blake Grupe 27 yard field goal good,2.83,3.0,8.0,2023,112
4.0,0:24,,,NOR 35,38.0,27.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,112
4.0,0:24,1.0,10.0,IND 25,38.0,27.0,Gardner Minshew pass incomplete short right intended for Michael Pittman,0.61,0.06,8.0,2023,112
4.0,0:19,2.0,10.0,IND 25,38.0,27.0,Gardner Minshew pass complete short right to Michael Pittman for 4 yards (tackle by Paulson Adebo),0.06,-0.1,8.0,2023,112
4.0,0:03,3.0,6.0,IND 29,38.0,27.0,Gardner Minshew pass incomplete short middle intended for Will Mallory (defended by Ugo Amadi) (defended by Bryan Bresee),-0.1,-1.44,8.0,2023,112
