Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA,week,year,game_id
4.0,2:17,3.0,9.0,PIT 39,20.0,10.0,Travis Etienne right guard for no gain (tackle by Markus Golden),1.82,0.66,8.0,2023,113
4.0,2:00,4.0,9.0,PIT 39,20.0,10.0,Logan Cooke punts 37 yards downed by Antonio Johnson,0.66,0.38,8.0,2023,113
4.0,1:52,1.0,10.0,PIT 2,20.0,10.0,Mitchell Trubisky pass complete short left to Calvin Austin for 7 yards (tackle by Foyesade Oluokun),-0.38,-0.27,8.0,2023,113
4.0,1:31,2.0,3.0,PIT 9,20.0,10.0,Mitchell Trubisky pass complete short right to Calvin Austin for 12 yards (tackle by Foyesade Oluokun),-0.27,0.34,8.0,2023,113
4.0,1:10,1.0,10.0,PIT 21,20.0,10.0,"Mitchell Trubisky pass complete short middle to Diontae Johnson for no gain (tackle by Rayshawn Jenkins). Penalty on Diontae Johnson: Illegal Motion, 5 yards (accepted) (no play)",0.34,-0.22,8.0,2023,113
4.0,1:02,1.0,15.0,PIT 16,20.0,10.0,Mitchell Trubisky pass complete short middle to Najee Harris for 12 yards (tackle by Rayshawn Jenkins),-0.22,0.75,8.0,2023,113
4.0,0:40,2.0,3.0,PIT 28,20.0,10.0,Mitchell Trubisky pass complete short right to Najee Harris for 13 yards (tackle by Adam Gotsis),0.75,1.66,8.0,2023,113
4.0,0:32,1.0,10.0,PIT 41,20.0,10.0,Mitchell Trubisky pass complete short right to Najee Harris for 10 yards (tackle by Devin Lloyd and Montaric Brown),1.66,2.32,8.0,2023,113
4.0,0:25,1.0,10.0,JAX 49,20.0,10.0,Mitchell Trubisky pass incomplete short right intended for Rodney Williams,2.32,1.78,8.0,2023,113
4.0,0:19,2.0,10.0,JAX 49,20.0,10.0,Mitchell Trubisky pass complete short middle to Connor Heyward for 8 yards (tackle by Roy Robertson-Harris),1.78,2.15,8.0,2023,113
4.0,0:06,3.0,2.0,JAX 41,20.0,10.0,Mitchell Trubisky spiked the ball,2.15,0.53,8.0,2023,113
4.0,0:05,4.0,2.0,JAX 41,20.0,10.0,Mitchell Trubisky pass deep right is intercepted by Antonio Johnson at JAC-6 and returned for 23 yards,0.53,3.64,8.0,2023,113
