Quarter,Time,Down,ToGo,Location,TAM,BUF,Detail,EPB,EPA,week,year,game_id
4.0,2:23,3.0,5.0,BUF 28,18.0,24.0,Josh Allen pass complete short left to Stefon Diggs for 15 yards (tackle by Antoine Winfield),-0.1,1.8,8.0,2023,107
4.0,2:12,,,,,,Timeout #3 by Tampa Bay Buccaneers,,,8.0,2023,107
4.0,2:12,1.0,10.0,BUF 43,18.0,24.0,James Cook left guard for 5 yards (tackle by Anthony Nelson),1.8,1.93,8.0,2023,107
4.0,2:00,2.0,5.0,BUF 48,18.0,24.0,James Cook up the middle for 3 yards (tackle by Devin White and Lavonte David),1.93,1.62,8.0,2023,107
4.0,1:16,3.0,2.0,TAM 49,18.0,24.0,Latavius Murray right guard for 1 yard (tackle by Devin White and Lavonte David),1.62,0.07,8.0,2023,107
4.0,0:31,,,,,,Timeout #2 by Buffalo Bills,,,8.0,2023,107
4.0,0:31,4.0,1.0,TAM 48,18.0,24.0,"Sam Martin punts 48 yards, touchback.",0.07,-0.28,8.0,2023,107
4.0,0:21,1.0,10.0,TAM 20,18.0,24.0,Baker Mayfield pass complete short right to Cade Otton for 7 yards,0.28,0.68,8.0,2023,107
4.0,0:16,,,,,,Timeout #3 by Buffalo Bills,,,8.0,2023,107
4.0,0:16,2.0,3.0,TAM 27,18.0,24.0,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Jordan Poyer),0.68,1.07,8.0,2023,107
4.0,0:08,1.0,10.0,TAM 32,18.0,24.0,Baker Mayfield pass complete short right to Mike Evans for 8 yards,1.07,1.61,8.0,2023,107
4.0,0:04,2.0,2.0,TAM 40,18.0,24.0,"Penalty on Von Miller: Defensive Offside, 5 yards (accepted) (no play)",1.61,1.93,8.0,2023,107
4.0,0:04,1.0,10.0,TAM 45,18.0,24.0,Baker Mayfield pass incomplete deep middle,1.93,1.38,8.0,2023,107
