Quarter,Time,Down,ToGo,Location,BAL,ARI,Detail,EPB,EPA,week,year,game_id
4.0,1:14,,,BAL 2,31.0,21.0,"Two Point Attempt: Joshua Dobbs rushes, conversion succeeds.. Penalty on Paris Johnson: Offensive Holding, 10 yards (accepted) (no play)",1.0,1.0,8.0,2023,119
4.0,1:14,,,BAL 12,31.0,21.0,Two Point Attempt: Joshua Dobbs pass incomplete to Marquise Brown for no gain,1.0,-1.0,8.0,2023,119
4.0,1:14,,,,,,Timeout #2 by Baltimore Ravens,,,8.0,2023,119
4.0,1:14,,,ARI 35,31.0,21.0,"Matt Prater kicks onside 14 yards, recovered by Owen Pappoe",0.0,-2.26,8.0,2023,119
4.0,1:11,1.0,10.0,ARI 50,31.0,21.0,Joshua Dobbs pass complete short left to Marquise Brown for 4 yards (tackle by Roquan Smith),2.26,2.25,8.0,2023,119
4.0,1:02,2.0,6.0,BAL 46,31.0,21.0,Joshua Dobbs pass incomplete deep left intended for Marquise Brown,2.25,1.55,8.0,2023,119
4.0,0:59,3.0,6.0,BAL 46,31.0,21.0,Joshua Dobbs pass complete short middle to Trey McBride for 22 yards (tackle by Patrick Queen),1.55,3.97,8.0,2023,119
4.0,0:34,1.0,10.0,BAL 24,31.0,21.0,Joshua Dobbs pass incomplete deep left intended for Zach Pascal,3.97,3.43,8.0,2023,119
4.0,0:29,2.0,10.0,BAL 24,31.0,21.0,"Penalty on Leki Fotu: False Start, 5 yards (accepted) (no play)",3.43,2.76,8.0,2023,119
4.0,0:29,2.0,15.0,BAL 29,31.0,24.0,Matt Prater 47 yard field goal good,2.76,3.0,8.0,2023,119
4.0,0:26,,,ARI 35,31.0,24.0,"Matt Prater kicks onside 13 yards,",0.0,2.39,8.0,2023,119
4.0,0:25,1.0,10.0,ARI 48,31.0,24.0,Lamar Jackson kneels for -1 yards,2.39,1.71,8.0,2023,119
