Quarter,Time,Down,ToGo,Location,CIN,TAM,Detail,EPB,EPA,week,year,game_id
4.0,1:59,3.0,1.0,TAM 34,34.0,17.0,Leonard Fournette up the middle for 8 yards (tackle by Tre Flowers and Joseph Ossai),0.56,1.73,15.0,2022,221
4.0,1:45,1.0,10.0,TAM 42,34.0,17.0,Tom Brady pass complete short left to Russell Gage for 11 yards (tackle by Allan George),1.73,2.46,15.0,2022,221
4.0,1:26,1.0,10.0,CIN 47,34.0,17.0,Tom Brady pass complete short right to Deven Thompkins for 7 yards (tackle by Logan Wilson),2.46,2.86,15.0,2022,221
4.0,1:09,2.0,3.0,CIN 40,34.0,17.0,"Tom Brady pass complete deep right to Cameron Brate for 21 yards (tackle by Logan Wilson) Penalty on CIN: Defensive Too Many Men on Field, 5 yards (declined)",2.86,4.31,15.0,2022,221
4.0,1:02,1.0,10.0,CIN 19,34.0,17.0,Tom Brady pass complete short left to Russell Gage for 14 yards,4.31,6.06,15.0,2022,221
4.0,0:57,1.0,5.0,CIN 5,34.0,17.0,Tom Brady pass incomplete short middle,6.06,5.15,15.0,2022,221
4.0,0:52,2.0,5.0,CIN 5,34.0,23.0,"Tom Brady pass complete short right to Russell Gage for 5 yards, touchdown",5.15,7.0,15.0,2022,221
4.0,0:49,,,CIN 2,34.0,23.0,Two Point Attempt: Tom Brady pass incomplete,1.0,-1.0,15.0,2022,221
4.0,0:49,,,TAM 35,34.0,23.0,"Jake Camarda kicks onside 12 yards, returned by Trenton Irwin for no gain",0.0,2.46,15.0,2022,221
4.0,0:48,1.0,10.0,TAM 47,34.0,23.0,Joe Burrow kneels for -1 yards,2.46,1.78,15.0,2022,221
4.0,0:28,2.0,11.0,TAM 48,34.0,23.0,Joe Burrow kneels for -1 yards,1.78,0.96,15.0,2022,221
