Quarter,Time,Down,ToGo,Location,DAL,JAX,Detail,EPB,EPA,week,year,game_id
4,0:17,2.0,8.0,JAX 46,34.0,31.0,"Trevor Lawrence pass complete short right to Evan Engram for 5 yards (tackle by Jayron Kearse) Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Trevor Lawrence pass complete short right to Evan Engram for 5 yards (tackle by Jayron Kearse)",1.59,1.55,15.0,2022,216
4,0:12,,,,,,Timeout #1 by Dallas Cowboys,,,15.0,2022,216
4,0:12,3.0,3.0,DAL 49,34.0,31.0,Trevor Lawrence pass complete short left to Zay Jones for 19 yards (tackle by Trevon Diggs),1.55,3.58,15.0,2022,216
4,0:05,,,,,,Timeout #3 by Jacksonville Jaguars,,,15.0,2022,216
4,0:05,,,,,,Timeout #2 by Dallas Cowboys,,,15.0,2022,216
4,0:05,1.0,10.0,DAL 30,34.0,34.0,Riley Patterson 48 yard field goal good,3.58,3.0,15.0,2022,216
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the overtime kickoff.",,,15.0,2022,216
OT,10:00,,,DAL 35,34.0,34.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,216
OT,10:00,1.0,10.0,JAX 25,34.0,34.0,Travis Etienne up the middle for 1 yard (tackle by DeMarcus Lawrence),0.61,0.2,15.0,2022,216
OT,9:24,2.0,9.0,JAX 26,34.0,34.0,Trevor Lawrence pass incomplete short middle intended for Marvin Jones,0.2,-0.49,15.0,2022,216
OT,9:20,3.0,9.0,JAX 26,34.0,34.0,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",-0.49,-1.15,15.0,2022,216
OT,9:20,3.0,14.0,JAX 21,34.0,34.0,Trevor Lawrence pass complete short right to Travis Etienne for 11 yards (tackle by Nahshon Wright),-1.15,-1.24,15.0,2022,216
OT,8:56,4.0,3.0,JAX 32,34.0,34.0,"Logan Cooke punts 48 yards, fair catch by KaVontae Turpin at DAL-20",-1.24,-0.28,15.0,2022,216
OT,8:48,1.0,10.0,DAL 20,34.0,34.0,Tony Pollard left end for 21 yards (tackle by Devin Lloyd),0.28,1.66,15.0,2022,216
OT,8:14,1.0,10.0,DAL 41,34.0,34.0,Tony Pollard left tackle for 6 yards (tackle by Tyson Campbell),1.66,1.93,15.0,2022,216
OT,7:38,2.0,4.0,DAL 47,34.0,34.0,Tony Pollard up the middle for no gain (tackle by Rayshawn Jenkins),1.93,1.22,15.0,2022,216
OT,7:04,3.0,4.0,DAL 47,34.0,40.0,"Dak Prescott pass short left intended for Noah Brown is intercepted by Rayshawn Jenkins at JAC-48 and returned for 52 yards, touchdown",1.22,-6.0,15.0,2022,216
