Quarter,Time,Down,ToGo,Location,IND,DAL,Detail,EPB,EPA,week,year,game_id
4.0,4:19,4.0,4.0,IND 29,19.0,47.0,"Matt Ryan pass complete to Alec Pierce for 13 yards. Alec Pierce fumbles (tackle by Jayron Kearse) Replay Assistant challenged the fumble ruling, and the original play was overturned. Matt Ryan pass complete short left to Alec Pierce for 12 yards (tackle by Jayron Kearse)",-1.44,1.66,13.0,2022,194
4.0,4:07,1.0,10.0,IND 41,19.0,47.0,Matt Ryan pass incomplete short left intended for Jelani Woods (defended by Kelvin Joseph),1.66,1.12,13.0,2022,194
4.0,3:59,2.0,10.0,IND 41,19.0,47.0,"Matt Ryan sacked by. Matt Ryan fumbles, recovered by Sam Williams at IND-31, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Matt Ryan sacked by Osa Odighizuwa for -12 yards. Matt Ryan fumbles (forced by Osa Odighizuwa), recovered by Sam Williams at IND-29 (tackle by Will Fries)",1.12,-3.64,13.0,2022,194
4.0,3:59,1.0,10.0,IND 29,19.0,47.0,Malik Davis left end for no gain (tackle by Bobby Okereke),3.64,3.1,13.0,2022,194
4.0,3:15,2.0,10.0,IND 29,19.0,47.0,Malik Davis up the middle for 6 yards (tackle by Kwity Paye),3.1,3.2,13.0,2022,194
4.0,2:31,3.0,4.0,IND 23,19.0,53.0,"Malik Davis up the middle for 23 yards, touchdown",3.2,7.0,13.0,2022,194
4.0,2:25,,,IND 15,19.0,54.0,Brett Maher kicks extra point good,0.0,0.0,13.0,2022,194
4.0,2:25,,,DAL 35,19.0,54.0,"Brett Maher kicks off 67 yards, returned by Isaiah Rodgers for 34 yards (tackle by Luke Gifford and Sean McKeon)",0.0,1.07,13.0,2022,194
4.0,2:18,1.0,10.0,IND 32,19.0,54.0,Zack Moss left tackle for 2 yards (tackle by Donovan Wilson),1.07,0.8,13.0,2022,194
4.0,2:00,2.0,8.0,IND 34,19.0,54.0,Zack Moss right end for 9 yards (tackle by DaRon Bland and Dorance Armstrong),0.8,1.8,13.0,2022,194
4.0,1:15,1.0,10.0,IND 43,19.0,54.0,Zack Moss up the middle for 7 yards (tackle by Israel Mukuamu),1.8,2.2,13.0,2022,194
4.0,0:40,2.0,3.0,IND 50,19.0,54.0,Matt Ryan kneels for -2 yards,2.2,1.22,13.0,2022,194
