Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA,week,year,game_id
4.0,3:07,,,,,,Timeout #1 by Kansas City Chiefs,,,13.0,2022,192
4.0,3:07,1.0,10.0,KAN 37,24.0,27.0,Samaje Perine right guard for 3 yards (tackle by Khalen Saunders),3.12,2.98,13.0,2022,192
4.0,3:03,,,,,,Timeout #2 by Kansas City Chiefs,,,13.0,2022,192
4.0,3:03,2.0,7.0,KAN 34,24.0,27.0,Joe Burrow scrambles up the middle for 2 yards (tackle by Chris Jones and Frank Clark),2.98,2.54,13.0,2022,192
4.0,2:55,,,,,,Timeout #3 by Kansas City Chiefs,,,13.0,2022,192
4.0,2:55,3.0,5.0,KAN 32,24.0,27.0,Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards (tackle by Trent McDuffie),2.54,3.78,13.0,2022,192
4.0,2:49,1.0,10.0,KAN 27,24.0,27.0,Samaje Perine left tackle for 6 yards (tackle by Trent McDuffie and Juan Thornhill),3.78,4.04,13.0,2022,192
4.0,2:05,,,,,,Timeout #2 by Cincinnati Bengals,,,13.0,2022,192
4.0,2:05,2.0,4.0,KAN 21,24.0,27.0,Joe Burrow sacked by George Karlaftis for -7 yards,4.04,2.41,13.0,2022,192
4.0,1:59,3.0,11.0,KAN 28,24.0,27.0,Joe Burrow pass complete short middle to Tee Higgins for 14 yards (tackle by Joshua Williams),2.41,4.65,13.0,2022,192
4.0,1:13,1.0,10.0,KAN 14,24.0,27.0,Joe Burrow kneels for -1 yards,4.65,3.85,13.0,2022,192
4.0,0:38,2.0,11.0,KAN 15,24.0,27.0,Joe Burrow kneels for -1 yards,3.85,3.0,13.0,2022,192
