Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA,week,year,game_id
4.0,1:20,3.0,11.0,CLE 15,23.0,21.0,Christian McCaffrey up the middle for -1 yards (tackle by Jeremiah Owusu-Koramoah),3.06,2.38,1.0,2022,3
4.0,1:17,,,,,,Timeout #3 by Cleveland Browns,,,1.0,2022,3
4.0,1:17,4.0,12.0,CLE 16,23.0,24.0,Eddy Pineiro 34 yard field goal good,2.38,3.0,1.0,2022,3
4.0,1:13,,,CAR 35,23.0,24.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,3
4.0,1:13,1.0,10.0,CLE 25,23.0,24.0,"Jacoby Brissett pass incomplete short left intended for Donovan Peoples-Jones. Penalty on Brian Burns: Roughing the Passer, 15 yards (accepted) (no play)",0.61,1.6,1.0,2022,3
4.0,1:09,1.0,10.0,CLE 40,23.0,24.0,Jacoby Brissett pass complete short right to Kareem Hunt for -2 yards (tackle by Marquis Haynes),1.6,0.78,1.0,2022,3
4.0,0:47,2.0,12.0,CLE 38,23.0,24.0,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 13 yards (tackle by Jeremy Chinn),0.78,2.32,1.0,2022,3
4.0,0:29,1.0,10.0,CAR 49,23.0,24.0,Jacoby Brissett spiked the ball,2.32,1.78,1.0,2022,3
4.0,0:29,2.0,10.0,CAR 49,23.0,24.0,Jacoby Brissett pass complete short right to Amari Cooper for 9 yards (tackle by C.J. Henderson),1.78,2.28,1.0,2022,3
4.0,0:13,3.0,1.0,CAR 40,23.0,24.0,Jacoby Brissett spiked the ball,2.28,0.59,1.0,2022,3
4.0,0:13,4.0,1.0,CAR 40,26.0,24.0,Cade York 58 yard field goal good,0.59,3.0,1.0,2022,3
4.0,0:08,,,CLE 35,26.0,24.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,3
4.0,0:08,1.0,10.0,CAR 25,26.0,24.0,"Baker Mayfield pass complete short middle to Christian McCaffrey for 1 yard, lateral to D.J. Moore for no gain (tackle by Myles Garrett)",0.61,-0.34,1.0,2022,3
