Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA,week,year,game_id
4.0,6:11,2.0,10.0,DET 47,38.0,28.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Avonte Maddox),1.52,1.49,1.0,2022,7
4.0,5:21,3.0,5.0,PHI 48,38.0,28.0,Jared Goff pass complete short right to D'Andre Swift for 7 yards (tackle by T.J. Edwards),1.49,2.85,1.0,2022,7
4.0,5:02,1.0,10.0,PHI 41,38.0,28.0,Jared Goff pass incomplete deep left intended for DJ Chark,2.85,2.31,1.0,2022,7
4.0,4:52,2.0,10.0,PHI 41,38.0,28.0,Jared Goff pass incomplete deep left intended for Kalif Raymond,2.31,1.62,1.0,2022,7
4.0,4:48,3.0,10.0,PHI 41,38.0,28.0,"Jared Goff pass incomplete intended for T.J. Hockenson. Penalty on C.J. Gardner-Johnson: Defensive Pass Interference, 11 yards (accepted) (no play)",1.62,3.58,1.0,2022,7
4.0,4:44,1.0,10.0,PHI 30,38.0,28.0,D'Andre Swift up the middle for 5 yards (tackle by Josh Sweat),3.58,3.71,1.0,2022,7
4.0,4:22,2.0,5.0,PHI 25,38.0,28.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 3 yards (tackle by Kyzir White),3.71,3.4,1.0,2022,7
4.0,3:57,3.0,2.0,PHI 22,38.0,34.0,"Jared Goff pass complete deep right to DJ Chark for 22 yards, touchdown",3.4,7.0,1.0,2022,7
4.0,3:51,,,PHI 15,38.0,35.0,Austin Seibert kicks extra point good,0.0,0.0,1.0,2022,7
4.0,3:51,,,DET 35,38.0,35.0,"Austin Seibert kicks off 51 yards, returned by Quez Watkins for 5 yards (tackle by Chris Board)",0.0,0.15,1.0,2022,7
4.0,3:49,1.0,10.0,PHI 19,38.0,35.0,Miles Sanders right tackle for 3 yards (tackle by Alim McNeill and Isaiah Buggs),0.15,0.07,1.0,2022,7
4.0,3:09,2.0,7.0,PHI 22,38.0,35.0,Miles Sanders up the middle for 5 yards (tackle by Jeff Okudah),0.07,-0.03,1.0,2022,7
4.0,2:27,3.0,2.0,PHI 27,38.0,35.0,Miles Sanders left tackle for 24 yards (tackle by Jeff Okudah),-0.03,2.32,1.0,2022,7
4.0,2:00,1.0,10.0,DET 49,38.0,35.0,Boston Scott left tackle for 1 yard (tackle by Alex Anzalone),2.32,1.98,1.0,2022,7
4.0,1:55,,,,,,Timeout #2 by Detroit Lions,,,1.0,2022,7
4.0,1:55,2.0,8.0,DET 48,38.0,35.0,Boston Scott left tackle for 8 yards (tackle by DeShon Elliott),1.98,2.28,1.0,2022,7
4.0,1:50,,,,,,Timeout #3 by Detroit Lions,,,1.0,2022,7
4.0,1:50,3.0,1.0,DET 40,38.0,35.0,Boston Scott right end for no gain (tackle by Malcolm Rodriguez),2.28,0.59,1.0,2022,7
4.0,1:09,4.0,1.0,DET 40,38.0,35.0,Jalen Hurts up the middle for 1 yard (tackle by Derrick Barnes),0.59,2.98,1.0,2022,7
4.0,0:50,1.0,10.0,DET 39,38.0,35.0,"Penalty on PHI: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",2.98,2.65,1.0,2022,7
4.0,0:37,1.0,15.0,DET 44,38.0,35.0,Jalen Hurts kneels for -1 yards,2.65,1.63,1.0,2022,7
