Quarter,Time,Down,ToGo,Location,NOR,LAC,Detail,EPB,EPA,week,year,game_id
4.0,3:22,,,NOR 15,8.0,26.0,Cameron Dicker kicks extra point good,0.0,0.0,8.0,2024,118
4.0,3:22,,,LAC 35,8.0,26.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,118
4.0,3:22,1.0,10.0,NOR 30,8.0,26.0,Jake Haener sacked by Poona Ford for -5 yards,0.94,-0.28,8.0,2024,118
4.0,2:51,2.0,15.0,NOR 25,8.0,26.0,Jake Haener pass complete short middle to Juwan Johnson for 11 yards (tackle by Daiyan Henley and Derwin James),-0.28,0.5,8.0,2024,118
4.0,2:22,3.0,4.0,NOR 36,8.0,26.0,Jake Haener pass complete short middle to Juwan Johnson for 15 yards (tackle by Derwin James),0.5,2.32,8.0,2024,118
4.0,2:00,1.0,10.0,LAC 49,8.0,26.0,Jake Haener scrambles right end for 5 yards (tackle by Alohi Gilman),2.32,2.46,8.0,2024,118
4.0,1:53,2.0,5.0,LAC 44,8.0,26.0,Jake Haener sacked by Bud Dupree for -11 yards,2.46,0.3,8.0,2024,118
4.0,1:14,3.0,16.0,NOR 45,8.0,26.0,Jake Haener scrambles left tackle for 5 yards (tackle by Elijah Molden),0.3,-0.06,8.0,2024,118
4.0,1:06,,,,,,Timeout #3 by New Orleans Saints,,,8.0,2024,118
4.0,1:06,4.0,11.0,LAC 50,8.0,26.0,Jake Haener pass complete deep middle to Bub Means for 36 yards (tackle by Alohi Gilman),-0.06,4.65,8.0,2024,118
4.0,0:35,1.0,10.0,LAC 14,8.0,26.0,Jake Haener pass incomplete short right intended for Chris Olave,4.65,4.0,8.0,2024,118
4.0,0:28,2.0,10.0,LAC 14,8.0,26.0,Jake Haener pass complete short left to Chris Olave for 7 yards (tackle by Derwin James),4.0,4.5,8.0,2024,118
4.0,0:09,3.0,3.0,LAC 7,8.0,26.0,Jake Haener pass incomplete short middle intended for Foster Moreau,4.5,2.99,8.0,2024,118
4.0,0:05,4.0,3.0,LAC 7,8.0,26.0,"Jake Haener pass short left is intercepted by Elijah Molden at LAC-3 and returned for no gain (tackle by Jamaal Williams). Penalty on Bud Dupree: Roughing the Passer, 4 yards (accepted) (no play)",2.99,6.51,8.0,2024,118
4.0,0:00,1.0,3.0,LAC 3,8.0,26.0,Jake Haener pass incomplete short right intended for Chris Olave,6.51,5.53,8.0,2024,118
