Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA,week,year,game_id
4.0,2:47,2.0,3.0,PIT 44,18.0,26.0,"Penalty on Micah McFadden: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",1.8,2.19,8.0,2024,123
4.0,2:47,1.0,10.0,PIT 49,18.0,26.0,Najee Harris left tackle for 3 yards (tackle by Dexter Lawrence and Micah McFadden),2.19,2.05,8.0,2024,123
4.0,2:41,,,,,,Timeout #2 by New York Giants,,,8.0,2024,123
4.0,2:41,2.0,7.0,NYG 48,18.0,26.0,Jaylen Warren up the middle for 2 yards (tackle by Brian Burns and Micah McFadden),2.05,1.62,8.0,2024,123
4.0,2:36,,,,,,Timeout #3 by New York Giants,,,8.0,2024,123
4.0,2:36,3.0,5.0,NYG 46,18.0,26.0,Russell Wilson scrambles right tackle for 3 yards (tackle by Brian Burns),1.62,0.4,8.0,2024,123
4.0,2:00,4.0,2.0,NYG 43,18.0,26.0,"Corliss Waitman punts 36 yards, fair catch by Ihmir Smith-Marsette at NYG-7",0.4,0.38,8.0,2024,123
4.0,1:53,1.0,10.0,NYG 7,18.0,26.0,"Daniel Jones pass complete short left to Malik Nabers for 9 yards (tackle by Patrick Queen) Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Daniel Jones pass complete short left to Malik Nabers for 8 yards (tackle by Patrick Queen)",-0.38,-0.14,8.0,2024,123
4.0,1:39,2.0,2.0,NYG 15,18.0,26.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 7 yards (tackle by Damontae Kazee and Patrick Queen),-0.14,0.41,8.0,2024,123
4.0,1:19,1.0,10.0,NYG 22,18.0,26.0,Daniel Jones pass incomplete deep left intended for Darius Slayton,0.41,-0.13,8.0,2024,123
4.0,1:15,2.0,10.0,NYG 22,18.0,26.0,Daniel Jones pass complete deep middle to Theo Johnson for 25 yards (tackle by Terrell Edmunds),-0.13,2.06,8.0,2024,123
4.0,0:57,1.0,10.0,NYG 47,18.0,26.0,Daniel Jones pass complete short right to Theo Johnson for 3 yards,2.06,1.92,8.0,2024,123
4.0,0:53,2.0,7.0,PIT 50,18.0,26.0,Daniel Jones pass complete short right to Malik Nabers for 15 yards,1.92,3.25,8.0,2024,123
4.0,0:47,1.0,10.0,PIT 35,18.0,26.0,Daniel Jones pass incomplete deep left intended for Malik Nabers,3.25,2.7,8.0,2024,123
4.0,0:42,2.0,10.0,PIT 35,18.0,26.0,Daniel Jones pass short right intended for Devin Singletary is intercepted by Beanie Bishop at PIT-29 and returned for 5 yards (tackle by Devin Singletary),2.7,-1.2,8.0,2024,123
4.0,0:34,1.0,10.0,PIT 34,18.0,26.0,Russell Wilson kneels for -1 yards,1.2,0.52,8.0,2024,123
