Quarter,Time,Down,ToGo,Location,CAR,LVR,Detail,EPB,EPA,week,year,game_id
4.0,2:55,2.0,10.0,CAR 49,36.0,15.0,Aidan O'Connell pass complete short left to Tre Tucker for 6 yards (tackle by DJ Johnson),1.78,1.88,3.0,2024,41
4.0,2:26,3.0,4.0,CAR 43,36.0,15.0,Aidan O'Connell pass complete short left to Tre Tucker for 7 yards (tackle by Michael Jackson and Nick Scott),1.88,3.18,3.0,2024,41
4.0,2:01,1.0,10.0,CAR 36,36.0,15.0,Aidan O'Connell pass incomplete short middle intended for Michael Mayer,3.18,2.64,3.0,2024,41
4.0,1:55,2.0,10.0,CAR 36,36.0,15.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 13 yards (tackle by Michael Jackson),2.64,4.04,3.0,2024,41
4.0,1:33,1.0,10.0,CAR 23,36.0,15.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 6 yards (tackle by Michael Jackson),4.04,4.38,3.0,2024,41
4.0,1:13,2.0,4.0,CAR 17,36.0,15.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 9 yards,4.38,5.37,3.0,2024,41
4.0,1:08,,,,,,Timeout #1 by Carolina Panthers,,,3.0,2024,41
4.0,1:08,1.0,8.0,CAR 8,36.0,15.0,Aidan O'Connell pass incomplete short right intended for Davante Adams (defended by Josey Jewell),5.37,4.57,3.0,2024,41
4.0,1:03,2.0,8.0,CAR 8,36.0,21.0,"Aidan O'Connell pass complete short right to Tre Tucker for 8 yards, touchdown",4.57,7.0,3.0,2024,41
4.0,0:56,,,CAR 15,36.0,22.0,Daniel Carlson kicks extra point good,0.0,0.0,3.0,2024,41
4.0,0:56,,,,,,Timeout #2 by Carolina Panthers,,,3.0,2024,41
4.0,0:56,,,LVR 35,36.0,22.0,"Daniel Carlson kicks onside 12 yards, returned by Ja'Tavion Sanders for no gain",0.0,2.46,3.0,2024,41
4.0,0:55,1.0,10.0,LVR 47,36.0,22.0,Andy Dalton kneels for -1 yards,2.46,1.78,3.0,2024,41
4.0,0:12,2.0,11.0,LVR 48,36.0,22.0,Andy Dalton kneels for -1 yards,1.78,0.96,3.0,2024,41
