Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA,week,year,game_id
4.0,4:03,,,,,,Timeout #1 by Cleveland Browns,,,3.0,2024,35
4.0,4:03,4.0,1.0,CLE 29,21.0,15.0,Deshaun Watson sacked by Dexter Lawrence for no gain,-1.44,-3.64,3.0,2024,35
4.0,3:56,1.0,10.0,CLE 29,21.0,15.0,Devin Singletary right guard for no gain (tackle by Shelby Harris),3.64,3.1,3.0,2024,35
4.0,3:52,,,,,,Timeout #2 by Cleveland Browns,,,3.0,2024,35
4.0,3:52,2.0,10.0,CLE 29,21.0,15.0,Devin Singletary left tackle for -4 yards (tackle by Grant Delpit),3.1,1.88,3.0,2024,35
4.0,3:47,,,,,,Timeout #3 by Cleveland Browns,,,3.0,2024,35
4.0,3:47,3.0,14.0,CLE 33,21.0,15.0,Devin Singletary right guard for 3 yards (tackle by Grant Delpit and Jeremiah Owusu-Koramoah),1.88,1.41,3.0,2024,35
4.0,3:04,4.0,11.0,CLE 30,21.0,15.0,Greg Joseph 48 yard field goal no good,1.41,-1.47,3.0,2024,35
4.0,3:00,1.0,10.0,CLE 38,21.0,15.0,Deshaun Watson pass complete short right to Amari Cooper for 6 yards (tackle by Deonte Banks),1.47,1.73,3.0,2024,35
4.0,2:39,2.0,4.0,CLE 44,21.0,15.0,Deshaun Watson pass incomplete short right intended for Amari Cooper,1.73,1.02,3.0,2024,35
4.0,2:34,3.0,4.0,CLE 44,21.0,15.0,Deshaun Watson pass incomplete deep left intended for Amari Cooper,1.02,-0.46,3.0,2024,35
4.0,2:28,4.0,4.0,CLE 44,21.0,15.0,Deshaun Watson pass incomplete short middle intended for Cedric Tillman,-0.46,-2.65,3.0,2024,35
4.0,2:23,1.0,10.0,CLE 44,21.0,15.0,Devin Singletary right end for 43 yards,2.65,6.97,3.0,2024,35
4.0,2:00,1.0,1.0,CLE 1,21.0,15.0,Daniel Jones kneels for -1 yards,6.97,5.72,3.0,2024,35
4.0,1:22,2.0,2.0,CLE 2,21.0,15.0,Daniel Jones kneels for -2 yards,5.72,0.0,3.0,2024,35
4.0,0:39,3.0,4.0,CLE 3,21.0,15.0,Daniel Jones kneels for -1 yards,0.0,0.0,3.0,2024,35
