Quarter,Time,Down,ToGo,Location,DET,ARI,Detail,EPB,EPA,week,year,game_id
3.0,13:10,2.0,3.0,DET 36,20.0,10.0,Kyler Murray pass deep left intended for Marvin Harrison is intercepted by Kerby Joseph in end zone and returned for no gain,3.12,-0.28,3.0,2024,43
3.0,13:03,1.0,10.0,DET 20,20.0,10.0,Jared Goff pass complete short right to David Montgomery for 9 yards (tackle by Jalen Thompson),0.28,0.95,3.0,2024,43
3.0,12:31,2.0,1.0,DET 29,20.0,10.0,David Montgomery left tackle for 4 yards (tackle by L.J. Collier and Bilal Nichols),0.95,1.14,3.0,2024,43
3.0,11:56,1.0,10.0,DET 33,20.0,10.0,David Montgomery left tackle for 1 yard (tackle by Mack Wilson and Roy Lopez),1.14,0.73,3.0,2024,43
3.0,11:26,2.0,9.0,DET 34,20.0,10.0,Jared Goff pass complete short left to Tim Patrick for 8 yards,0.73,1.09,3.0,2024,43
3.0,10:54,3.0,1.0,DET 42,20.0,10.0,"Penalty on Graham Glasgow: False Start, 5 yards (accepted) (no play)",1.09,0.43,3.0,2024,43
3.0,10:35,3.0,6.0,DET 37,20.0,10.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,0.43,-0.91,3.0,2024,43
3.0,10:32,4.0,6.0,DET 37,20.0,10.0,Jack Fox punts 61 yards downed by Khalil Dorsey,-0.91,0.38,3.0,2024,43
3.0,10:21,1.0,10.0,ARI 2,20.0,10.0,James Conner up the middle for 1 yard (tackle by Ben Niemann and Brian Branch),-0.38,-0.71,3.0,2024,43
3.0,9:40,2.0,9.0,ARI 3,20.0,10.0,Kyler Murray pass incomplete short left intended for Trey McBride,-0.71,-1.3,3.0,2024,43
3.0,9:36,3.0,9.0,ARI 3,20.0,10.0,Kyler Murray left tackle for 8 yards (tackle by Kerby Joseph),-1.3,-2.49,3.0,2024,43
3.0,9:02,4.0,1.0,ARI 11,20.0,10.0,"Blake Gillikin punts 63 yards, returned by Kalif Raymond for 17 yards (tackle by DeeJay Dallas)",-2.49,-1.8,3.0,2024,43
3.0,8:53,1.0,10.0,DET 43,20.0,10.0,Jameson Williams left end for -7 yards (tackle by Jalen Thompson),1.8,0.31,3.0,2024,43
3.0,8:10,2.0,17.0,DET 36,20.0,10.0,Jared Goff pass short right intended for Brock Wright is intercepted by Dennis Gardeck at DET-43 and returned for 10 yards (tackle by Amon-Ra St. Brown),0.31,-3.38,3.0,2024,43
3.0,8:04,1.0,10.0,DET 33,20.0,10.0,Trey Benson right tackle for 6 yards (tackle by Aidan Hutchinson),3.38,3.65,3.0,2024,43
3.0,7:22,2.0,4.0,DET 27,20.0,10.0,Trey Benson right end for 2 yards (tackle by Carlton Davis),3.65,3.2,3.0,2024,43
3.0,6:47,3.0,2.0,DET 25,20.0,10.0,Emari Demercado up the middle for 1 yard (tackle by Aidan Hutchinson),3.2,2.02,3.0,2024,43
3.0,6:06,4.0,1.0,DET 24,20.0,10.0,"Kyler Murray right end for 1 yard (tackle by Carlton Davis) DET challenged the first down ruling, and the original play was overturned. Kyler Murray right end for no gain (tackle by Carlton Davis)",2.02,-0.54,3.0,2024,43
3.0,6:02,1.0,10.0,DET 24,20.0,10.0,Jahmyr Gibbs right tackle for 18 yards (tackle by Budda Baker),0.54,1.73,3.0,2024,43
3.0,5:22,1.0,10.0,DET 42,20.0,10.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 15 yards (tackle by Starling Thomas),1.73,2.72,3.0,2024,43
3.0,4:45,1.0,10.0,ARI 43,20.0,10.0,Jahmyr Gibbs up the middle for 8 yards (tackle by Mack Wilson and Sean Murphy-Bunting),2.72,3.26,3.0,2024,43
3.0,4:09,2.0,2.0,ARI 35,20.0,10.0,Jared Goff pass incomplete deep left intended for Jameson Williams,3.26,2.54,3.0,2024,43
3.0,4:02,3.0,2.0,ARI 35,20.0,10.0,David Montgomery left tackle for 1 yard (tackle by Dante Stills and Khyiris Tonga),2.54,1.1,3.0,2024,43
3.0,3:14,4.0,1.0,ARI 34,20.0,10.0,David Montgomery up the middle for no gain (tackle by Dante Stills and Kyzir White),1.1,-1.27,3.0,2024,43
3.0,3:10,1.0,10.0,ARI 35,20.0,10.0,Kyler Murray pass incomplete short right intended for Greg Dortch (defended by Brian Branch),1.27,0.72,3.0,2024,43
3.0,3:05,2.0,10.0,ARI 35,20.0,10.0,James Conner right tackle for -3 yards (tackle by Carlton Davis),0.72,-0.36,3.0,2024,43
3.0,2:24,3.0,13.0,ARI 32,20.0,10.0,Kyler Murray pass incomplete deep left intended for Greg Dortch (defended by Brian Branch),-0.36,-1.24,3.0,2024,43
3.0,2:19,4.0,13.0,ARI 32,20.0,10.0,"Blake Gillikin punts 47 yards, returned by Kalif Raymond for 12 yards (tackle by Joey Blount and Owen Pappoe)",-1.24,-1.14,3.0,2024,43
3.0,2:05,1.0,10.0,DET 33,20.0,10.0,Jared Goff pass complete short left to David Montgomery for 7 yards (tackle by Zaven Collins),1.14,1.54,3.0,2024,43
3.0,1:26,2.0,3.0,DET 40,20.0,10.0,David Montgomery left tackle for 4 yards (tackle by Roy Lopez),1.54,1.86,3.0,2024,43
3.0,0:44,1.0,10.0,DET 44,20.0,10.0,David Montgomery right tackle for 7 yards (tackle by Starling Thomas),1.86,2.33,3.0,2024,43
4.0,15:00,2.0,2.0,ARI 49,20.0,10.0,David Montgomery up the middle for 3 yards (tackle by Jalen Thompson),2.33,2.52,3.0,2024,43
4.0,14:27,1.0,10.0,ARI 46,20.0,10.0,Jared Goff pass incomplete short left,2.52,1.98,3.0,2024,43
4.0,14:23,2.0,10.0,ARI 46,20.0,10.0,Jared Goff sacked by Dante Stills for -7 yards,1.98,0.3,3.0,2024,43
4.0,13:41,3.0,18.0,DET 47,20.0,10.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Owen Pappoe). Penalty on Amon-Ra St. Brown: Offensive Pass Interference, 10 yards (declined)",0.3,0.07,3.0,2024,43
4.0,13:31,4.0,13.0,ARI 48,20.0,10.0,"Jack Fox punts 36 yards, fair catch by Greg Dortch at ARI-12",0.07,0.35,3.0,2024,43
4.0,13:24,1.0,10.0,ARI 12,20.0,10.0,Kyler Murray pass complete deep left to Marvin Harrison for 17 yards,-0.35,0.87,3.0,2024,43
4.0,12:38,1.0,10.0,ARI 29,20.0,10.0,"Kyler Murray pass incomplete deep right intended for Marvin Harrison. Penalty on Josh Paschal: Roughing the Passer, 15 yards (accepted) (no play)",0.87,1.86,3.0,2024,43
4.0,12:38,1.0,10.0,ARI 44,20.0,10.0,Kyler Murray pass complete short left to Michael Wilson for 1 yard (tackle by Brian Branch),1.86,1.45,3.0,2024,43
4.0,12:00,2.0,9.0,ARI 45,20.0,10.0,"Penalty on Tip Reiman: False Start, 5 yards (accepted) (no play)",1.45,0.78,3.0,2024,43
4.0,12:00,2.0,14.0,ARI 40,20.0,10.0,Kyler Murray pass complete short right to James Conner for 8 yards (tackle by Mekhi Wingo and Malcolm Rodriguez),0.78,1.16,3.0,2024,43
4.0,11:18,3.0,6.0,ARI 48,20.0,10.0,Kyler Murray pass incomplete short left intended for Marvin Harrison,1.16,-0.19,3.0,2024,43
4.0,11:12,4.0,6.0,ARI 48,20.0,10.0,Kyler Murray pass incomplete short middle intended for Trey McBride (defended by Kerby Joseph),-0.19,-2.46,3.0,2024,43
4.0,11:08,1.0,10.0,ARI 47,20.0,10.0,Jahmyr Gibbs right tackle for 2 yards (tackle by Mack Wilson),2.46,2.18,3.0,2024,43
4.0,10:34,2.0,8.0,ARI 45,20.0,10.0,Jahmyr Gibbs left tackle for no gain (tackle by Kyzir White and Zaven Collins),2.18,1.49,3.0,2024,43
4.0,9:48,3.0,8.0,ARI 45,20.0,10.0,Jared Goff pass incomplete deep right intended for Jameson Williams,1.49,0.27,3.0,2024,43
4.0,9:43,4.0,8.0,ARI 45,20.0,10.0,Jack Fox punts 36 yards downed by Ben Niemann,0.27,0.38,3.0,2024,43
4.0,9:34,1.0,10.0,ARI 9,20.0,10.0,Kyler Murray pass complete short right to Michael Wilson for 5 yards,-0.38,-0.39,3.0,2024,43
4.0,9:18,2.0,5.0,ARI 14,20.0,10.0,Kyler Murray pass complete short middle to Marvin Harrison for 14 yards (tackle by Terrion Arnold and Kerby Joseph),-0.39,0.81,3.0,2024,43
4.0,8:58,1.0,10.0,ARI 28,20.0,10.0,Kyler Murray pass incomplete deep left intended for Marvin Harrison,0.81,0.26,3.0,2024,43
4.0,8:55,2.0,10.0,ARI 28,20.0,10.0,Kyler Murray pass incomplete deep left intended for Greg Dortch,0.26,-0.43,3.0,2024,43
4.0,8:50,3.0,10.0,ARI 28,20.0,10.0,Kyler Murray pass incomplete deep right intended for Michael Wilson,-0.43,-1.5,3.0,2024,43
4.0,8:46,4.0,10.0,ARI 28,20.0,10.0,"Blake Gillikin punts 53 yards, returned by Kalif Raymond for 3 yards (tackle by Max Melton)",-1.5,-0.41,3.0,2024,43
4.0,8:35,1.0,10.0,DET 22,20.0,10.0,David Montgomery up the middle for 16 yards (tackle by Xavier Thomas and Sean Murphy-Bunting),0.41,1.47,3.0,2024,43
4.0,7:52,1.0,10.0,DET 38,20.0,10.0,David Montgomery up the middle for 2 yards (tackle by Zaven Collins),1.47,1.19,3.0,2024,43
4.0,7:46,,,,,,Timeout #1 by Arizona Cardinals,,,3.0,2024,43
4.0,7:46,2.0,8.0,DET 40,20.0,10.0,David Montgomery left tackle for 6 yards (tackle by Bilal Nichols and Kyzir White),1.19,1.29,3.0,2024,43
4.0,7:38,,,,,,Timeout #2 by Arizona Cardinals,,,3.0,2024,43
4.0,7:38,3.0,2.0,DET 46,20.0,10.0,Jahmyr Gibbs up the middle for 1 yard (tackle by Budda Baker),1.29,-0.26,3.0,2024,43
4.0,6:54,,,,,,Timeout #1 by Detroit Lions,,,3.0,2024,43
4.0,6:54,4.0,1.0,DET 47,20.0,10.0,"Jack Fox punts 46 yards, fair catch by Greg Dortch at ARI-7",-0.26,0.38,3.0,2024,43
4.0,6:48,1.0,10.0,ARI 7,20.0,10.0,Kyler Murray pass complete short left to Michael Wilson for 4 yards (tackle by Malcolm Rodriguez),-0.38,-0.49,3.0,2024,43
4.0,6:28,2.0,6.0,ARI 11,20.0,10.0,Kyler Murray pass complete short right to Greg Dortch for 9 yards (tackle by Mekhi Wingo and Jack Campbell),-0.49,0.28,3.0,2024,43
4.0,6:06,1.0,10.0,ARI 20,20.0,10.0,Kyler Murray pass complete short right to Trey McBride for 9 yards (tackle by Brian Branch),0.28,0.95,3.0,2024,43
4.0,5:48,2.0,1.0,ARI 29,20.0,10.0,Kyler Murray pass complete deep right to Michael Wilson for 28 yards (tackle by Carlton Davis),0.95,2.72,3.0,2024,43
4.0,5:21,1.0,10.0,DET 43,20.0,10.0,Kyler Murray pass complete short left to Elijah Higgins for 11 yards (tackle by Amik Robertson),2.72,3.45,3.0,2024,43
4.0,5:03,1.0,10.0,DET 32,20.0,10.0,Kyler Murray sacked by Aidan Hutchinson for -7 yards,3.45,1.96,3.0,2024,43
4.0,4:37,2.0,17.0,DET 39,20.0,10.0,Kyler Murray pass incomplete deep left intended for Marvin Harrison (defended by Terrion Arnold),1.96,1.29,3.0,2024,43
4.0,4:33,3.0,17.0,DET 39,20.0,10.0,Kyler Murray pass complete short middle to Greg Dortch for 13 yards (tackle by Amik Robertson),1.29,1.81,3.0,2024,43
4.0,3:52,4.0,4.0,DET 26,20.0,13.0,Matt Prater 45 yard field goal good,1.81,3.0,3.0,2024,43
4.0,3:48,,,ARI 35,20.0,13.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,43
4.0,3:48,1.0,10.0,DET 30,20.0,13.0,David Montgomery left tackle for 4 yards (tackle by Roy Lopez and Dennis Gardeck),0.94,0.93,3.0,2024,43
4.0,3:02,2.0,6.0,DET 34,20.0,13.0,"Penalty on Penei Sewell: False Start, 5 yards (accepted) (no play)",0.93,0.26,3.0,2024,43
4.0,3:02,2.0,11.0,DET 29,20.0,13.0,David Montgomery right tackle for -1 yards (tackle by Zaven Collins),0.26,-0.56,3.0,2024,43
4.0,2:18,3.0,12.0,DET 28,20.0,13.0,Jared Goff pass complete deep right to Amon-Ra St. Brown for 18 yards (tackle by Sean Murphy-Bunting),-0.56,1.99,3.0,2024,43
4.0,2:00,1.0,10.0,DET 46,20.0,13.0,David Montgomery left tackle for 3 yards (tackle by Mack Wilson and Dante Stills),1.99,1.86,3.0,2024,43
4.0,1:56,,,,,,Timeout #3 by Arizona Cardinals,,,3.0,2024,43
4.0,1:56,2.0,7.0,DET 49,20.0,13.0,Jared Goff scrambles right end for 8 yards (tackle by Budda Baker),1.86,2.72,3.0,2024,43
4.0,1:13,1.0,10.0,ARI 43,20.0,13.0,Jared Goff kneels for -1 yards,2.72,2.04,3.0,2024,43
4.0,0:39,2.0,11.0,ARI 44,20.0,13.0,Jared Goff kneels for -1 yards,2.04,1.22,3.0,2024,43
