Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA,week,year,game_id
4.0,4:11,2.0,4.0,IND 39,9.0,21.0,Caleb Williams pass incomplete deep middle intended for Rome Odunze,2.85,2.15,3.0,2024,34
4.0,4:04,3.0,4.0,IND 39,9.0,21.0,Roschon Johnson right guard for 9 yards (tackle by Dallis Flowers and Nick Cross),2.15,3.58,3.0,2024,34
4.0,3:40,1.0,10.0,IND 30,9.0,21.0,Caleb Williams sacked by Adetomiwa Adebawore for -8 yards,3.58,1.95,3.0,2024,34
4.0,3:11,2.0,18.0,IND 38,9.0,21.0,Caleb Williams pass complete short right to Roschon Johnson for 6 yards (tackle by E.J. Speed),1.95,2.08,3.0,2024,34
4.0,2:44,3.0,12.0,IND 32,9.0,21.0,Caleb Williams pass complete deep right to Rome Odunze for 17 yards (tackle by Nick Cross),2.08,4.58,3.0,2024,34
4.0,2:36,1.0,10.0,IND 15,9.0,21.0,Caleb Williams pass incomplete short middle intended for DeAndre Carter,4.58,3.95,3.0,2024,34
4.0,2:35,2.0,10.0,IND 15,9.0,21.0,Caleb Williams pass incomplete short left intended for D.J. Moore (defended by Kenny Moore),3.95,3.1,3.0,2024,34
4.0,2:29,3.0,10.0,IND 15,9.0,21.0,Caleb Williams pass complete short middle to DeAndre Carter for 9 yards (tackle by Zaire Franklin),3.1,3.02,3.0,2024,34
4.0,2:05,4.0,1.0,IND 6,15.0,21.0,"Caleb Williams pass complete short right to Cole Kmet for 6 yards, touchdown",3.02,7.0,3.0,2024,34
4.0,2:01,,,IND 15,16.0,21.0,Cairo Santos kicks extra point good,0.0,0.0,3.0,2024,34
4.0,2:01,,,CHI 35,16.0,21.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,34
4.0,2:01,1.0,10.0,IND 30,16.0,21.0,Jonathan Taylor up the middle for 4 yards (tackle by Andrew Billings and Jaquan Brisker),0.94,0.93,3.0,2024,34
4.0,1:57,2.0,6.0,IND 34,16.0,21.0,Jonathan Taylor right end for 13 yards (tackle by Jack Sanborn and Kevin Byard),0.93,2.06,3.0,2024,34
4.0,1:49,,,,,,Timeout #3 by Chicago Bears,,,3.0,2024,34
4.0,1:49,1.0,10.0,IND 47,16.0,21.0,Anthony Richardson kneels for -2 yards,2.06,1.25,3.0,2024,34
4.0,1:04,2.0,12.0,IND 45,16.0,21.0,Anthony Richardson kneels for -1 yards,1.25,0.43,3.0,2024,34
4.0,0:30,3.0,13.0,IND 44,16.0,21.0,Anthony Richardson kneels for -1 yards,0.43,-0.52,3.0,2024,34
