Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA,week,year,game_id
4.0,10:41,1.0,10.0,DAL 36,28.0,6.0,Dak Prescott pass complete short middle to Rico Dowdle for 5 yards (tackle by Roquan Smith),1.33,1.47,3.0,2024,44
4.0,10:19,2.0,5.0,DAL 41,28.0,6.0,Dak Prescott pass complete short left to Jake Ferguson for 16 yards (tackle by Tavius Robinson),1.47,2.72,3.0,2024,44
4.0,9:49,1.0,10.0,BAL 43,28.0,6.0,Dak Prescott pass incomplete short right intended for Rico Dowdle,2.72,2.18,3.0,2024,44
4.0,9:45,2.0,10.0,BAL 43,28.0,6.0,Dak Prescott pass complete deep middle to Jalen Tolbert for 19 yards (tackle by Brandon Stephens),2.18,3.97,3.0,2024,44
4.0,9:19,1.0,10.0,BAL 24,28.0,6.0,Dak Prescott pass complete deep middle to KaVontae Turpin for 23 yards (tackle by Marcus Williams and Eddie Jackson),3.97,6.97,3.0,2024,44
4.0,8:57,1.0,1.0,BAL 1,28.0,12.0,"Dak Prescott up the middle for 1 yard, touchdown",6.97,7.0,3.0,2024,44
4.0,8:53,,,BAL 2,28.0,12.0,Two Point Attempt: Dak Prescott pass incomplete intended for intended for CeeDee Lamb,1.0,-1.0,3.0,2024,44
4.0,8:53,,,DAL 35,28.0,12.0,"Brandon Aubrey kicks onside 9 yards, recovered by C.J. Goodwin",0.0,-1.86,3.0,2024,44
4.0,8:51,1.0,10.0,DAL 44,28.0,12.0,Rico Dowdle left tackle for 3 yards (tackle by Kyle Hamilton and Michael Pierce),1.86,1.72,3.0,2024,44
4.0,8:30,2.0,7.0,DAL 47,28.0,12.0,Dak Prescott pass complete short left to Jalen Tolbert for 8 yards (tackle by Brandon Stephens),1.72,2.59,3.0,2024,44
4.0,8:02,1.0,10.0,BAL 45,28.0,12.0,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by Kyle Van Noy),2.59,2.04,3.0,2024,44
4.0,7:58,2.0,10.0,BAL 45,28.0,12.0,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by Kyle Hamilton),2.04,2.15,3.0,2024,44
4.0,7:35,3.0,4.0,BAL 39,28.0,12.0,Dak Prescott pass complete short right to Jalen Brooks for 24 yards (tackle by Nate Wiggins),2.15,4.58,3.0,2024,44
4.0,7:16,1.0,10.0,BAL 15,28.0,12.0,Dak Prescott pass incomplete short right intended for Luke Schoonmaker,4.58,3.95,3.0,2024,44
4.0,7:12,2.0,10.0,BAL 15,28.0,18.0,"Dak Prescott pass complete short middle to Jalen Tolbert for 15 yards, touchdown",3.95,7.0,3.0,2024,44
4.0,7:07,,,BAL 2,28.0,18.0,Two Point Attempt: Dak Prescott pass incomplete intended for intended for Rico Dowdle,1.0,-1.0,3.0,2024,44
4.0,7:07,,,DAL 35,28.0,18.0,"Brandon Aubrey kicks onside 12 yards, returned by Zay Flowers for no gain",0.0,2.46,3.0,2024,44
4.0,7:05,1.0,10.0,DAL 47,28.0,18.0,Derrick Henry right end for 6 yards (tackle by Damone Clark),2.46,2.72,3.0,2024,44
4.0,6:24,2.0,4.0,DAL 41,28.0,18.0,Derrick Henry up the middle for 1 yard (tackle by Donovan Wilson and Eric Kendricks),2.72,2.15,3.0,2024,44
4.0,5:37,3.0,3.0,DAL 40,28.0,18.0,Lamar Jackson pass incomplete short right intended for Mark Andrews,2.15,0.59,3.0,2024,44
4.0,5:34,4.0,3.0,DAL 40,28.0,18.0,Jordan Stout punts 31 yards downed by Sanoussi Kane,0.59,0.38,3.0,2024,44
4.0,5:26,1.0,10.0,DAL 9,28.0,18.0,Dak Prescott pass complete short middle to Deuce Vaughn for 8 yards (tackle by Roquan Smith and Kyle Hamilton),-0.38,-0.02,3.0,2024,44
4.0,5:03,2.0,2.0,DAL 17,28.0,18.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb,-0.02,-0.48,3.0,2024,44
4.0,5:00,3.0,2.0,DAL 17,28.0,18.0,Dak Prescott pass complete short right to Hunter Luepke for 24 yards (tackle by Ar'Darius Washington),-0.48,1.66,3.0,2024,44
4.0,4:30,1.0,10.0,DAL 41,28.0,18.0,Dak Prescott pass incomplete short right intended for Jalen Brooks (defended by Marlon Humphrey),1.66,1.12,3.0,2024,44
4.0,4:26,2.0,10.0,DAL 41,28.0,18.0,Dak Prescott pass complete short left to Luke Schoonmaker for 5 yards (tackle by Brandon Stephens),1.12,1.09,3.0,2024,44
