Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA,week,year,game_id
3.0,12:45,3.0,4.0,PHI 40,0.0,3.0,Saquon Barkley right guard for 7 yards (tackle by Tyrann Mathieu),0.76,2.06,3.0,2024,39
3.0,12:05,1.0,10.0,PHI 47,0.0,3.0,"Kenneth Gainwell left end for no gain (tackle by Demario Davis and Marshon Lattimore). Penalty on Grant Calcaterra: Offensive Holding, 10 yards (accepted) (no play)",2.06,1.4,3.0,2024,39
3.0,11:38,1.0,20.0,PHI 37,0.0,3.0,Jalen Hurts pass complete short middle to DeVonta Smith for 18 yards (tackle by Will Harris),1.4,2.6,3.0,2024,39
3.0,11:03,2.0,2.0,NOR 45,0.0,3.0,Saquon Barkley right guard for 4 yards (tackle by Demario Davis),2.6,2.85,3.0,2024,39
3.0,10:24,1.0,10.0,NOR 41,0.0,3.0,Saquon Barkley left guard for 6 yards (tackle by Nathan Shepherd),2.85,3.12,3.0,2024,39
3.0,9:41,2.0,4.0,NOR 35,0.0,3.0,Saquon Barkley right end for -2 yards (tackle by Tyrann Mathieu),3.12,2.15,3.0,2024,39
3.0,9:32,3.0,6.0,NOR 37,0.0,3.0,Saquon Barkley left tackle for 3 yards (tackle by Chase Young and Demario Davis),2.15,1.09,3.0,2024,39
3.0,8:48,4.0,3.0,NOR 34,0.0,3.0,Jalen Hurts sacked by Bryan Bresee for -6 yards,1.09,-1.6,3.0,2024,39
3.0,8:43,1.0,10.0,NOR 40,0.0,3.0,Derek Carr pass incomplete short left intended for Rashid Shaheed (defended by Quinyon Mitchell),1.6,1.05,3.0,2024,39
3.0,8:40,2.0,10.0,NOR 40,0.0,3.0,Alvin Kamara left end for 4 yards (tackle by Josh Sweat),1.05,0.89,3.0,2024,39
3.0,7:58,3.0,6.0,NOR 44,0.0,3.0,Derek Carr pass complete short left to Chris Olave for 8 yards (tackle by Quinyon Mitchell),0.89,2.39,3.0,2024,39
3.0,7:23,1.0,10.0,PHI 48,0.0,3.0,Alvin Kamara right guard for 4 yards (tackle by Nolan Smith and Nakobe Dean),2.39,2.39,3.0,2024,39
3.0,6:45,2.0,6.0,PHI 44,0.0,3.0,Alvin Kamara right tackle for 3 yards (tackle by Jordan Davis),2.39,2.08,3.0,2024,39
3.0,6:07,3.0,3.0,PHI 41,0.0,3.0,Alvin Kamara right tackle for -1 yards (tackle by Jalen Carter),2.08,0.46,3.0,2024,39
3.0,5:21,4.0,4.0,PHI 42,0.0,3.0,"Matthew Hayball punts 33 yards, returned by Cooper DeJean for 6 yards (tackle by Payton Turner and Isaiah Foskey)",0.46,0.22,3.0,2024,39
3.0,5:10,1.0,10.0,PHI 15,0.0,3.0,Saquon Barkley right tackle for 9 yards (tackle by Paulson Adebo),-0.22,0.62,3.0,2024,39
3.0,4:31,2.0,1.0,PHI 24,0.0,3.0,"Saquon Barkley right guard for no gain (tackle by Cameron Jordan). Penalty on DeVonta Smith: Illegal Formation, 5 yards (accepted) (no play)",0.62,-0.11,3.0,2024,39
3.0,4:03,2.0,6.0,PHI 19,0.0,3.0,Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Paulson Adebo),-0.11,0.81,3.0,2024,39
3.0,3:15,1.0,10.0,PHI 28,0.0,3.0,Saquon Barkley right guard for 20 yards (tackle by Paulson Adebo),0.81,2.13,3.0,2024,39
3.0,2:33,1.0,10.0,PHI 48,0.0,3.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 8 yards (tackle by Pete Werner),2.13,2.66,3.0,2024,39
3.0,1:44,2.0,2.0,NOR 44,0.0,3.0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith,2.66,1.95,3.0,2024,39
3.0,1:37,3.0,2.0,NOR 44,0.0,3.0,"Penalty on PHI: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",1.95,1.29,3.0,2024,39
3.0,1:37,3.0,7.0,NOR 49,0.0,3.0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell,1.29,0.0,3.0,2024,39
3.0,1:35,4.0,7.0,NOR 49,0.0,3.0,Braden Mann punts blocked by J.T. Gray (tackle by Nolan Smith),0.0,-3.78,3.0,2024,39
3.0,1:29,1.0,10.0,PHI 27,0.0,3.0,Alvin Kamara left guard for 3 yards (tackle by Nakobe Dean and Jordan Davis),3.78,3.64,3.0,2024,39
3.0,1:04,2.0,7.0,PHI 24,0.0,3.0,Alvin Kamara left guard for 6 yards (tackle by Zack Baun and C.J. Gardner-Johnson),3.64,3.84,3.0,2024,39
3.0,0:27,3.0,1.0,PHI 18,0.0,3.0,Alvin Kamara left guard for no gain (tackle by Nakobe Dean and C.J. Gardner-Johnson),3.84,2.4,3.0,2024,39
4.0,15:00,4.0,1.0,PHI 18,0.0,3.0,Alvin Kamara left tackle for no gain (tackle by Zack Baun),2.4,-0.04,3.0,2024,39
4.0,14:58,1.0,10.0,PHI 18,0.0,3.0,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards,0.04,0.41,3.0,2024,39
4.0,14:27,2.0,4.0,PHI 24,0.0,3.0,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Paulson Adebo),0.41,0.94,3.0,2024,39
4.0,13:54,1.0,10.0,PHI 30,0.0,3.0,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by Paulson Adebo),0.94,1.07,3.0,2024,39
4.0,13:27,2.0,5.0,PHI 35,6.0,3.0,"Saquon Barkley left guard for 65 yards, touchdown",1.07,7.0,3.0,2024,39
4.0,13:17,,,NOR 15,7.0,3.0,Jake Elliott kicks extra point good,0.0,0.0,3.0,2024,39
4.0,13:17,,,PHI 35,7.0,3.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,39
4.0,13:17,1.0,10.0,NOR 30,7.0,3.0,Derek Carr pass complete short right to Cedrick Wilson for 3 yards (tackle by Brandon Graham),0.94,0.8,3.0,2024,39
4.0,12:35,2.0,7.0,NOR 33,7.0,3.0,Alvin Kamara left end for 16 yards (tackle by C.J. Gardner-Johnson),0.8,2.19,3.0,2024,39
4.0,11:49,1.0,10.0,NOR 49,7.0,3.0,Derek Carr pass incomplete short right,2.19,1.65,3.0,2024,39
4.0,11:44,,,,,,Timeout #1 by New Orleans Saints,,,3.0,2024,39
4.0,11:44,2.0,10.0,NOR 49,7.0,3.0,Derek Carr pass complete deep left to Alvin Kamara for 27 yards (tackle by Zack Baun),1.65,3.97,3.0,2024,39
4.0,11:06,1.0,10.0,PHI 24,7.0,3.0,Alvin Kamara right end for -1 yards (tackle by Nakobe Dean),3.97,3.3,3.0,2024,39
4.0,10:39,2.0,11.0,PHI 25,7.0,3.0,Derek Carr pass incomplete deep right intended for Rashid Shaheed (defended by Darius Slay),3.3,2.61,3.0,2024,39
4.0,10:33,3.0,11.0,PHI 25,7.0,3.0,Derek Carr pass complete short left to Mason Tipton for 5 yards (tackle by Zack Baun),2.61,2.15,3.0,2024,39
4.0,9:52,4.0,6.0,PHI 20,7.0,6.0,Blake Grupe 38 yard field goal good,2.15,3.0,3.0,2024,39
4.0,9:49,,,NOR 35,7.0,6.0,"Blake Grupe kicks off 67 yards, returned by Will Shipley for 26 yards (tackle by Rico Payton)",0.0,0.54,3.0,2024,39
4.0,9:44,1.0,10.0,PHI 24,7.0,6.0,Jalen Hurts pass incomplete short right,0.54,0.0,3.0,2024,39
4.0,9:40,2.0,10.0,PHI 24,7.0,6.0,Jalen Hurts scrambles left end for 5 yards (tackle by Demario Davis),0.0,-0.03,3.0,2024,39
4.0,8:57,3.0,5.0,PHI 29,7.0,6.0,"Jalen Hurts pass complete short right to Dallas Goedert for 30 yards. Dallas Goedert fumbles, ball out of bounds at NO-41 (forced by Alontae Taylor) (tackle by Will Harris and Alontae Taylor). Dallas Goedert fumbles out of bounds",-0.03,2.85,3.0,2024,39
4.0,8:16,1.0,10.0,NOR 41,7.0,6.0,Saquon Barkley right guard for no gain (tackle by Pete Werner and John Ridgeway),2.85,2.31,3.0,2024,39
4.0,7:32,2.0,10.0,NOR 41,7.0,6.0,Jalen Hurts pass complete short right to Dallas Goedert for -1 yards (tackle by Will Harris),2.31,1.49,3.0,2024,39
4.0,6:55,3.0,11.0,NOR 42,7.0,6.0,Jalen Hurts pass incomplete deep left intended for Jahan Dotson,1.49,0.46,3.0,2024,39
4.0,6:47,4.0,11.0,NOR 42,7.0,6.0,Jake Elliott 60 yard field goal no good,0.46,-2.26,3.0,2024,39
4.0,6:41,1.0,10.0,NOR 50,7.0,6.0,Derek Carr scrambles left end for 4 yards (tackle by Quinyon Mitchell and Zack Baun),2.26,2.25,3.0,2024,39
