Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA,week,year,game_id
4,0:23,1.0,10.0,BAL 49,19.0,19.0,"Lamar Jackson sacked by Kwity Paye for -10 yards Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",2.19,0.3,3.0,2023,37
4,0:16,2.0,20.0,BAL 39,19.0,19.0,Lamar Jackson pass incomplete deep middle intended for Devin Duvernay (defended by Kenny Moore),0.3,-0.36,3.0,2023,37
4,0:11,3.0,20.0,BAL 39,19.0,19.0,Lamar Jackson pass complete deep middle to Nelson Agholor for 18 yards (tackle by Julian Blackmon and Dallis Flowers),-0.36,2.79,3.0,2023,37
4,0:06,,,,,,Timeout #3 by Baltimore Ravens,,,3.0,2023,37
4,0:06,1.0,10.0,IND 42,19.0,19.0,Justin Tucker 61 yard field goal no good,2.79,-2.32,3.0,2023,37
4,0:01,1.0,10.0,BAL 49,19.0,19.0,Gardner Minshew pass incomplete short right,2.32,0.0,3.0,2023,37
,,,,,,,"Colts won the coin toss, Colts to receive the overtime kickoff.",,,3.0,2023,37
OT,10:00,,,BAL 35,19.0,19.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
OT,10:00,1.0,10.0,IND 25,19.0,19.0,Gardner Minshew sacked by and Roquan Smith for -2 yards and Jadeveon Clowney for -2 yards,0.61,-0.21,3.0,2023,37
OT,9:20,2.0,12.0,IND 23,19.0,19.0,Gardner Minshew pass complete short right to Zack Moss for 6 yards (tackle by Roquan Smith),-0.21,-0.1,3.0,2023,37
OT,8:43,3.0,6.0,IND 29,19.0,19.0,Gardner Minshew pass incomplete deep right intended for Alec Pierce,-0.1,-1.44,3.0,2023,37
OT,8:35,4.0,6.0,IND 29,19.0,19.0,"Rigoberto Sanchez punts 50 yards, returned by Devin Duvernay for 31 yards (tackle by Nick Cross)",-1.44,-2.39,3.0,2023,37
OT,8:22,1.0,10.0,IND 48,19.0,19.0,Melvin Gordon left guard for 4 yards (tackle by Julian Blackmon),2.39,2.39,3.0,2023,37
OT,7:45,2.0,6.0,IND 44,19.0,19.0,Melvin Gordon up the middle for no gain (tackle by Zaire Franklin),2.39,1.69,3.0,2023,37
OT,7:10,3.0,6.0,IND 44,19.0,19.0,Lamar Jackson pass incomplete short middle intended for Zay Flowers,1.69,0.33,3.0,2023,37
OT,7:06,4.0,6.0,IND 44,19.0,19.0,"Jordan Stout punts 33 yards, fair catch by Isaiah McKenzie at IND-11",0.33,0.37,3.0,2023,37
OT,7:00,1.0,10.0,IND 11,19.0,19.0,Zack Moss left end for no gain (tackle by Jeremiah Moon and Roquan Smith),-0.37,-0.78,3.0,2023,37
OT,6:17,2.0,10.0,IND 11,19.0,19.0,Gardner Minshew pass complete deep left to Michael Pittman for 34 yards (tackle by Geno Stone and Brandon Stephens),-0.78,1.93,3.0,2023,37
OT,5:59,1.0,10.0,IND 45,19.0,19.0,Zack Moss right tackle for 1 yard (tackle by Roquan Smith and Patrick Queen),1.93,1.52,3.0,2023,37
OT,5:28,2.0,9.0,IND 46,19.0,19.0,Gardner Minshew pass complete short right to Josh Downs for 7 yards (tackle by Ronald Darby),1.52,1.75,3.0,2023,37
OT,5:01,3.0,2.0,BAL 47,19.0,19.0,Zack Moss up the middle for 1 yard (tackle by Jadeveon Clowney),1.75,0.2,3.0,2023,37
OT,4:16,4.0,1.0,BAL 46,19.0,19.0,Zack Moss right guard for no gain (tackle by Brandon Stephens and Patrick Queen),0.2,-1.99,3.0,2023,37
OT,4:10,1.0,10.0,BAL 46,19.0,19.0,Lamar Jackson pass incomplete short left intended for Kenyan Drake,1.99,1.45,3.0,2023,37
OT,4:08,2.0,10.0,BAL 46,19.0,19.0,Lamar Jackson pass complete short middle to Mark Andrews for 7 yards (tackle by Rodney Thomas and Julian Blackmon),1.45,1.69,3.0,2023,37
OT,3:29,3.0,3.0,IND 47,19.0,19.0,Lamar Jackson pass incomplete short right intended for Isaiah Likely,1.69,0.13,3.0,2023,37
OT,3:25,,,,,,Timeout #1 by Baltimore Ravens,,,3.0,2023,37
OT,3:25,4.0,3.0,IND 47,19.0,19.0,Lamar Jackson pass incomplete short middle intended for Zay Flowers,0.13,-2.06,3.0,2023,37
OT,3:21,1.0,10.0,IND 47,19.0,19.0,Zack Moss left tackle for 13 yards (tackle by Michael Pierce and Daryl Worley),2.06,2.92,3.0,2023,37
OT,2:40,1.0,10.0,BAL 40,19.0,19.0,Zack Moss left tackle for 2 yards (tackle by Daryl Worley),2.92,2.64,3.0,2023,37
OT,2:00,2.0,8.0,BAL 38,19.0,19.0,Zack Moss up the middle for 3 yards (tackle by Michael Pierce),2.64,2.34,3.0,2023,37
OT,1:18,3.0,5.0,BAL 35,19.0,19.0,Zack Moss up the middle for no gain (tackle by Michael Pierce),2.34,0.98,3.0,2023,37
OT,1:14,,,,,,Timeout #2 by Baltimore Ravens,,,3.0,2023,37
OT,1:14,4.0,5.0,BAL 35,22.0,19.0,Matt Gay 53 yard field goal good,0.98,3.0,3.0,2023,37
