Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA,week,year,game_id
3.0,4:20,2.0,3.0,NYG 3,12.0,17.0,Brock Purdy pass incomplete short left,5.53,4.72,3.0,2023,33
3.0,4:15,3.0,3.0,NYG 3,12.0,17.0,Brock Purdy pass incomplete short right,4.72,3.04,3.0,2023,33
3.0,4:12,4.0,3.0,NYG 3,12.0,20.0,Jake Moody 21 yard field goal good,3.04,3.0,3.0,2023,33
3.0,4:08,,,SFO 35,12.0,20.0,"Jake Moody kicks off 62 yards, returned by Eric Gray for 16 yards (tackle by George Odum)",0.0,0.15,3.0,2023,33
3.0,4:04,1.0,10.0,NYG 19,12.0,20.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 2 yards (tackle by Oren Burks and Tashaun Gipson),0.15,-0.06,3.0,2023,33
3.0,3:23,2.0,8.0,NYG 21,12.0,20.0,"Penalty on Daniel Bellinger: False Start, 5 yards (accepted) (no play)",-0.06,-0.87,3.0,2023,33
3.0,3:14,2.0,13.0,NYG 16,12.0,20.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 4 yards (tackle by Tashaun Gipson),-0.87,-0.94,3.0,2023,33
3.0,2:45,3.0,9.0,NYG 20,12.0,20.0,"Daniel Jones pass incomplete short right intended for Darius Slayton. Penalty on Marcus McKethan: Offensive Holding, 10 yards (offset) . Penalty on Isaiah Oliver: Defensive Holding, 5 yards (offset) (no play)",-0.94,-0.94,3.0,2023,33
3.0,2:27,3.0,9.0,NYG 20,12.0,20.0,Daniel Jones pass incomplete deep right intended for Darren Waller,-0.94,-2.03,3.0,2023,33
3.0,2:22,4.0,9.0,NYG 20,12.0,20.0,"Jamie Gillan punts 49 yards, fair catch by Ray-Ray McCloud at SF-31",-2.03,-1.0,3.0,2023,33
3.0,2:13,,,,,,Timeout #1 by San Francisco 49ers,,,3.0,2023,33
3.0,2:13,1.0,10.0,SFO 31,12.0,20.0,Brock Purdy pass complete short left to George Kittle for 8 yards (tackle by Micah McFadden),1.0,1.54,3.0,2023,33
3.0,1:37,2.0,2.0,SFO 39,12.0,20.0,Elijah Mitchell left end for 8 yards (tackle by Bobby Okereke),1.54,2.06,3.0,2023,33
3.0,0:54,1.0,10.0,SFO 47,12.0,20.0,Elijah Mitchell left tackle for 1 yard (tackle by A'Shawn Robinson),2.06,1.65,3.0,2023,33
3.0,0:24,2.0,9.0,SFO 48,12.0,20.0,Brock Purdy pass complete short left to George Kittle for 29 yards (tackle by Jason Pinnock and Bobby Okereke),1.65,4.04,3.0,2023,33
4.0,15:00,1.0,10.0,NYG 23,12.0,20.0,"Brock Purdy pass incomplete deep left intended for Christian McCaffrey. Penalty on Tre Hawkins: Defensive Holding, 5 yards (accepted) (no play)",4.04,4.37,3.0,2023,33
4.0,14:55,1.0,10.0,NYG 18,12.0,20.0,Elijah Mitchell right guard for -2 yards (tackle by Micah McFadden),4.37,3.56,3.0,2023,33
4.0,14:13,2.0,12.0,NYG 20,12.0,20.0,Brock Purdy pass complete short left to Elijah Mitchell for -5 yards (tackle by Darnay Holmes),3.56,2.21,3.0,2023,33
4.0,13:30,3.0,17.0,NYG 25,12.0,20.0,Brock Purdy pass complete short left to George Kittle for 7 yards (tackle by Isaiah Simmons),2.21,2.25,3.0,2023,33
4.0,12:51,4.0,10.0,NYG 18,12.0,23.0,Jake Moody 36 yard field goal good,2.25,3.0,3.0,2023,33
4.0,12:47,,,SFO 35,12.0,23.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,33
4.0,12:47,1.0,10.0,NYG 25,12.0,23.0,"Daniel Jones scrambles for no gain. Penalty on Joshua Ezeudu: Offensive Facemask, 12 yards (accepted) (no play)",0.61,-0.64,3.0,2023,33
4.0,12:32,1.0,22.0,NYG 13,12.0,23.0,Daniel Jones pass complete short left to Darren Waller for 9 yards (tackle by Deommodore Lenoir),-0.64,-0.34,3.0,2023,33
4.0,11:57,2.0,13.0,NYG 22,12.0,23.0,Daniel Jones pass complete short right to Parris Campbell for 2 yards (tackle by Isaiah Oliver),-0.34,-0.76,3.0,2023,33
4.0,11:16,3.0,11.0,NYG 24,12.0,23.0,Daniel Jones pass incomplete short middle intended for Darren Waller,-0.76,-1.77,3.0,2023,33
