Quarter,Time,Down,ToGo,Location,DEN,MIA,Detail,EPB,EPA,week,year,game_id
4.0,5:56,1.0,10.0,MIA 16,20.0,70.0,Jaleel McLaughlin right tackle for 4 yards (tackle by Brandon Pili and Emmanuel Ogbah),4.51,4.57,3.0,2023,38
4.0,5:21,2.0,6.0,MIA 12,20.0,70.0,Jaleel McLaughlin left guard for 3 yards (tackle by Brandon Pili),4.57,4.22,3.0,2023,38
4.0,4:48,3.0,4.0,MIA 9,20.0,70.0,Russell Wilson sacked by Emmanuel Ogbah for -12 yards,4.22,2.06,3.0,2023,38
4.0,4:05,4.0,15.0,MIA 21,20.0,70.0,Russell Wilson pass incomplete deep left intended for Courtland Sutton,2.06,-0.34,3.0,2023,38
4.0,4:00,1.0,10.0,MIA 21,20.0,70.0,Chris Brooks up the middle for 4 yards (tackle by Essang Bassey and Jonathon Cooper),0.34,0.34,3.0,2023,38
4.0,3:23,2.0,6.0,MIA 25,20.0,70.0,Chris Brooks up the middle for 52 yards (tackle by Damarri Mathis),0.34,4.04,3.0,2023,38
4.0,2:31,1.0,10.0,DEN 23,20.0,70.0,Chris Brooks up the middle for 2 yards (tackle by Alex Singleton and Nik Bonitto) (no play),4.04,3.71,3.0,2023,38
4.0,2:23,1.0,15.0,DEN 28,20.0,70.0,Chris Brooks up the middle for no gain (tackle by Jonathon Cooper and Jonathan Harris),3.71,2.82,3.0,2023,38
4.0,2:00,2.0,15.0,DEN 28,20.0,70.0,Chris Brooks right tackle for 2 yards (tackle by Jonathan Harris and Mike Purcell),2.82,2.41,3.0,2023,38
4.0,1:19,3.0,13.0,DEN 26,20.0,70.0,Chris Brooks left tackle for -1 yards (tackle by Jonathan Harris),2.41,1.67,3.0,2023,38
4.0,0:32,4.0,14.0,DEN 27,20.0,70.0,Mike White kneels for -1 yards,1.67,-0.81,3.0,2023,38
4.0,0:30,1.0,10.0,DEN 28,20.0,70.0,Jaleel McLaughlin up the middle for 7 yards (tackle by Channing Tindall and Elijah Campbell),0.81,1.21,3.0,2023,38
