Quarter,Time,Down,ToGo,Location,LAC,MIN,Detail,EPB,EPA,week,year,game_id
4.0,6:13,2.0,4.0,LAC 26,28.0,24.0,Kirk Cousins pass complete short left to Justin Jefferson for 3 yards (tackle by Asante Samuel),3.71,3.4,3.0,2023,41
4.0,5:53,3.0,1.0,LAC 23,28.0,24.0,Alexander Mattison left tackle for 3 yards (tackle by Alohi Gilman),3.4,4.24,3.0,2023,41
4.0,5:14,1.0,10.0,LAC 20,28.0,24.0,Ty Chandler right tackle for 9 yards (tackle by Nick Niemann),4.24,5.26,3.0,2023,41
4.0,4:29,2.0,1.0,LAC 11,28.0,24.0,Kirk Cousins pass complete short left to Justin Jefferson for 8 yards (tackle by Michael Davis),5.26,6.51,3.0,2023,41
4.0,4:23,1.0,3.0,LAC 3,28.0,24.0,Alexander Mattison up the middle for 2 yards (tackle by Alohi Gilman),6.51,5.91,3.0,2023,41
4.0,3:41,2.0,1.0,LAC 1,28.0,24.0,Alexander Mattison left guard for -1 yards (tackle by Kenneth Murray and Austin Johnson),5.91,4.95,3.0,2023,41
4.0,3:03,3.0,2.0,LAC 2,28.0,24.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson,4.95,3.25,3.0,2023,41
4.0,2:58,4.0,2.0,LAC 2,28.0,24.0,"Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Michael Davis) Penalty on MIN: Illegal Shift, 5 yards (declined)",3.25,0.38,3.0,2023,41
4.0,2:53,1.0,10.0,LAC 2,28.0,24.0,Justin Herbert pass complete short right to Keenan Allen for 13 yards (tackle by Byron Murphy),-0.38,-0.22,3.0,2023,41
4.0,2:12,1.0,10.0,LAC 15,28.0,24.0,Joshua Kelley left end for 2 yards (tackle by Jordan Hicks),-0.22,-0.44,3.0,2023,41
4.0,2:00,2.0,8.0,LAC 17,28.0,24.0,Joshua Kelley up the middle for -3 yards (tackle by Danielle Hunter),-0.44,-1.51,3.0,2023,41
4.0,1:57,,,,,,Timeout #2 by Minnesota Vikings,,,3.0,2023,41
4.0,1:57,3.0,11.0,LAC 14,28.0,24.0,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Byron Murphy),-1.51,-1.77,3.0,2023,41
4.0,1:51,,,,,,Timeout #3 by Minnesota Vikings,,,3.0,2023,41
4.0,1:51,4.0,1.0,LAC 24,28.0,24.0,"Joshua Kelley up the middle for no gain (tackle by Jonathan Bullard) Replay Assistant challenged the short of the line to gain ruling, and the play was upheld.",-1.77,-3.97,3.0,2023,41
4.0,1:46,1.0,10.0,LAC 24,28.0,24.0,Kirk Cousins pass incomplete deep right intended for K.J. Osborn,3.97,3.43,3.0,2023,41
4.0,1:41,2.0,10.0,LAC 24,28.0,24.0,Alexander Mattison up the middle for -1 yards (tackle by Sebastian Joseph-Day),3.43,2.61,3.0,2023,41
4.0,1:04,3.0,11.0,LAC 25,28.0,24.0,"Kirk Cousins pass incomplete deep right intended for Jordan Addison (defended by Asante Samuel). Penalty on Michael Davis: Illegal Contact, 5 yards (accepted) (no play)",2.61,4.24,3.0,2023,41
4.0,0:55,1.0,10.0,LAC 20,28.0,24.0,Kirk Cousins pass incomplete short left intended for T.J. Hockenson (defended by Alohi Gilman),4.24,3.02,3.0,2023,41
4.0,0:51,2.0,15.0,LAC 25,28.0,24.0,Kirk Cousins pass complete short right to Brandon Powell for 5 yards (tackle by Asante Samuel),3.02,3.01,3.0,2023,41
4.0,0:47,3.0,10.0,LAC 20,28.0,24.0,Kirk Cousins pass complete short left to T.J. Hockenson for 5 yards (tackle by Nick Niemann),3.01,2.49,3.0,2023,41
4.0,0:42,4.0,5.0,LAC 15,28.0,24.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 9 yards (tackle by Raheem Layne),2.49,5.83,3.0,2023,41
4.0,0:15,1.0,6.0,LAC 6,28.0,24.0,Kirk Cousins pass short right (defended by Nick Niemann) intended for T.J. Hockenson is intercepted by Kenneth Murray in end zone and returned for no gain,5.83,-0.28,3.0,2023,41
4.0,0:07,1.0,10.0,LAC 20,28.0,24.0,Justin Herbert kneels for -1 yards,0.28,-0.46,3.0,2023,41
