Quarter,Time,Down,ToGo,Location,CAR,SEA,Detail,EPB,EPA,week,year,game_id
4.0,7:23,2.0,7.0,SEA 22,20.0,29.0,Geno Smith pass complete short right to Kenneth Walker for 5 yards (tackle by Kamu Grugier-Hill and Troy Hill),0.07,-0.03,3.0,2023,43
4.0,6:36,3.0,2.0,SEA 27,20.0,29.0,Geno Smith pass complete short left to Zach Charbonnet for -1 yards (tackle by Donte Jackson and Derrick Brown),-0.03,-1.63,3.0,2023,43
4.0,6:12,4.0,3.0,SEA 26,20.0,29.0,"Michael Dickson punts 42 yards, returned by Ihmir Smith-Marsette for no gain (tackle by Jerrick Reed)",-1.63,-1.07,3.0,2023,43
4.0,5:50,1.0,10.0,CAR 32,20.0,29.0,Andy Dalton pass incomplete short middle intended for Hayden Hurst (defended by Julian Love),1.07,0.53,3.0,2023,43
4.0,5:46,2.0,10.0,CAR 32,20.0,29.0,Andy Dalton pass incomplete short left intended for Miles Sanders (defended by Michael Jackson),0.53,-0.16,3.0,2023,43
4.0,5:42,3.0,10.0,CAR 32,20.0,29.0,Andy Dalton pass complete short right to Ian Thomas for 8 yards (tackle by Devon Witherspoon),-0.16,-0.72,3.0,2023,43
4.0,4:59,4.0,2.0,CAR 40,20.0,29.0,Andy Dalton pass complete to Miles Sanders for no gain (no play),-0.72,-1.04,3.0,2023,43
4.0,4:52,4.0,7.0,CAR 35,20.0,29.0,Andy Dalton sacked by Jarran Reed for -8 yards,-1.04,-3.78,3.0,2023,43
4.0,4:47,1.0,10.0,CAR 27,20.0,29.0,Kenneth Walker right guard for 10 yards (tackle by DeShawn Williams),3.78,4.44,3.0,2023,43
4.0,4:41,,,,,,Timeout #1 by Carolina Panthers,,,3.0,2023,43
4.0,4:41,1.0,10.0,CAR 17,20.0,29.0,Kenneth Walker right tackle for 3 yards (tackle by Vonn Bell and DeShawn Williams),4.44,4.32,3.0,2023,43
4.0,4:34,,,,,,Timeout #2 by Carolina Panthers,,,3.0,2023,43
4.0,4:34,2.0,7.0,CAR 14,20.0,29.0,Zach Charbonnet left end for 12 yards (tackle by Sam Franklin),4.32,6.74,3.0,2023,43
4.0,4:27,1.0,2.0,CAR 2,20.0,29.0,Zach Charbonnet left tackle for -3 yards (tackle by Brian Burns),6.74,5.15,3.0,2023,43
4.0,4:22,,,,,,Timeout #3 by Carolina Panthers,,,3.0,2023,43
4.0,4:22,2.0,5.0,CAR 5,20.0,35.0,"Geno Smith pass complete short middle to Jake Bobo for 5 yards, touchdown",5.15,7.0,3.0,2023,43
4.0,4:17,,,CAR 2,20.0,37.0,Two Point Attempt: Geno Smith pass complete to to Tyler Lockett for no gain,1.0,1.0,3.0,2023,43
4.0,4:17,,,SEA 35,20.0,37.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
4.0,4:17,1.0,10.0,CAR 25,20.0,37.0,Andy Dalton pass complete short right to Terrace Marshall for 6 yards (tackle by Devon Witherspoon),0.61,0.87,3.0,2023,43
4.0,4:13,2.0,4.0,CAR 31,20.0,37.0,Andy Dalton pass incomplete short right intended for Terrace Marshall (defended by Devon Witherspoon),0.87,0.17,3.0,2023,43
4.0,4:09,3.0,4.0,CAR 31,20.0,37.0,Andy Dalton pass complete short right to Adam Thielen for 7 yards (tackle by Jerrick Reed),0.17,1.47,3.0,2023,43
4.0,3:43,1.0,10.0,CAR 38,20.0,37.0,Andy Dalton pass complete short right to DJ Chark for 4 yards (tackle by Jordyn Brooks),1.47,1.46,3.0,2023,43
4.0,3:13,2.0,6.0,CAR 42,20.0,37.0,Andy Dalton pass complete short left to Terrace Marshall for 8 yards (tackle by Michael Jackson),1.46,2.26,3.0,2023,43
4.0,2:48,1.0,10.0,SEA 50,20.0,37.0,Andy Dalton pass complete short middle to Miles Sanders for 6 yards (tackle by Devon Witherspoon and Bobby Wagner),2.26,2.52,3.0,2023,43
4.0,2:19,2.0,4.0,SEA 44,20.0,37.0,Andy Dalton pass incomplete short middle intended for Terrace Marshall,2.52,1.82,3.0,2023,43
4.0,2:15,3.0,4.0,SEA 44,20.0,37.0,Andy Dalton pass complete short left to Terrace Marshall for 4 yards (tackle by Artie Burns and Jarran Reed),1.82,2.92,3.0,2023,43
4.0,2:00,1.0,10.0,SEA 40,20.0,37.0,Andy Dalton pass incomplete short right intended for DJ Chark,2.92,2.37,3.0,2023,43
4.0,1:56,2.0,10.0,SEA 40,20.0,37.0,"Andy Dalton pass incomplete intended for DJ Chark. Penalty on Mario Edwards: Roughing the Passer, 15 yards (accepted) (no play)",2.37,3.91,3.0,2023,43
4.0,1:51,1.0,10.0,SEA 25,20.0,37.0,Andy Dalton pass complete short left to Terrace Marshall for 10 yards (tackle by Michael Jackson),3.91,4.58,3.0,2023,43
4.0,1:45,1.0,10.0,SEA 15,26.0,37.0,"Andy Dalton pass complete short right to Adam Thielen for 15 yards, touchdown",4.58,7.0,3.0,2023,43
4.0,1:40,,,SEA 15,27.0,37.0,Eddy Pineiro kicks extra point good,0.0,0.0,3.0,2023,43
4.0,1:40,,,,,,Timeout #2 by Seattle Seahawks,,,3.0,2023,43
4.0,1:40,,,CAR 35,27.0,37.0,"Eddy Pineiro kicks onside 7 yards, returned by Jake Bobo for no gain",0.0,2.79,3.0,2023,43
4.0,1:31,1.0,10.0,CAR 42,27.0,37.0,Geno Smith kneels for -1 yards,2.79,2.11,3.0,2023,43
4.0,1:05,2.0,11.0,CAR 43,27.0,37.0,Geno Smith kneels for -1 yards,2.11,1.29,3.0,2023,43
4.0,0:38,3.0,12.0,CAR 44,27.0,37.0,Geno Smith kneels for -1 yards,1.29,0.27,3.0,2023,43
