Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA,week,year,game_id
4.0,4:58,1.0,10.0,ARI 16,16.0,28.0,Tony Pollard up the middle for 5 yards (tackle by K'Von Wallace and Kevin Strong),4.51,4.76,3.0,2023,45
4.0,4:33,2.0,5.0,ARI 11,16.0,28.0,Tony Pollard up the middle for 6 yards (tackle by Kyzir White),4.76,6.06,3.0,2023,45
4.0,4:04,1.0,5.0,ARI 5,16.0,28.0,Tony Pollard up the middle for -2 yards (tackle by Cameron Thomas),6.06,4.76,3.0,2023,45
4.0,3:33,2.0,7.0,ARI 7,16.0,28.0,Tony Pollard left tackle for 1 yard (tackle by Cameron Thomas),4.76,4.04,3.0,2023,45
4.0,3:05,3.0,6.0,ARI 6,16.0,28.0,Dak Prescott pass short middle intended for Brandin Cooks is intercepted by Kyzir White in end zone and returned for no gain,4.04,-0.28,3.0,2023,45
4.0,3:00,1.0,10.0,ARI 20,16.0,28.0,James Conner up the middle for 2 yards (tackle by Damone Clark),0.28,0.0,3.0,2023,45
4.0,2:56,,,,,,Timeout #1 by Dallas Cowboys,,,3.0,2023,45
4.0,2:56,2.0,8.0,ARI 22,16.0,28.0,James Conner right end for 7 yards (tackle by Micah Parsons and Johnathan Hankins),0.0,0.23,3.0,2023,45
4.0,2:50,,,,,,Timeout #2 by Dallas Cowboys,,,3.0,2023,45
4.0,2:50,3.0,1.0,ARI 29,16.0,28.0,Joshua Dobbs up the middle for 3 yards (tackle by Damone Clark),0.23,1.07,3.0,2023,45
4.0,2:44,,,,,,Timeout #3 by Dallas Cowboys,,,3.0,2023,45
4.0,2:44,1.0,10.0,ARI 32,16.0,28.0,"James Conner up the middle for 7 yards (tackle by DaRon Bland and Damone Clark). Penalty on Johnathan Hankins: Face Mask (15 Yards), 15 yards (accepted)",1.07,2.52,3.0,2023,45
4.0,2:38,1.0,10.0,DAL 46,16.0,28.0,James Conner left tackle for 9 yards (tackle by Jayron Kearse and Leighton Vander Esch),2.52,3.19,3.0,2023,45
4.0,2:00,2.0,1.0,DAL 37,16.0,28.0,Joshua Dobbs up the middle for 3 yards (tackle by Damone Clark),3.19,3.31,3.0,2023,45
4.0,1:18,1.0,10.0,DAL 34,16.0,28.0,Joshua Dobbs kneels for -1 yards,3.31,2.64,3.0,2023,45
4.0,0:38,2.0,11.0,DAL 35,16.0,28.0,Joshua Dobbs kneels for -1 yards,2.64,1.82,3.0,2023,45
