Quarter,Time,Down,ToGo,Location,MIA,LAC,Detail,EPB,EPA,week,year,game_id
4.0,3:53,1.0,10.0,MIA 25,30.0,34.0,Tua Tagovailoa pass incomplete short left intended for Salvon Ahmed (defended by Derwin James),0.61,0.06,1.0,2023,12
4.0,3:48,2.0,10.0,MIA 25,30.0,34.0,"Tua Tagovailoa pass complete to Salvon Ahmed for no gain. Salvon Ahmed fumbles Replay Assistant challenged the pass completion ruling, and the original play was overturned. Tua Tagovailoa pass incomplete short right intended for Salvon Ahmed (defended by Ja'Sir Taylor)",0.06,-0.62,1.0,2023,12
4.0,3:47,3.0,10.0,MIA 25,30.0,34.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 47 yards (tackle by Derwin James),-0.62,3.71,1.0,2023,12
4.0,3:03,1.0,10.0,LAC 28,30.0,34.0,Raheem Mostert up the middle for 4 yards (tackle by Kenneth Murray),3.71,3.71,1.0,2023,12
4.0,2:20,2.0,6.0,LAC 24,30.0,34.0,Tua Tagovailoa pass complete short middle to River Cracraft for 15 yards (tackle by Derwin James),3.71,5.14,1.0,2023,12
4.0,2:00,1.0,9.0,LAC 9,30.0,34.0,Tua Tagovailoa pass incomplete short middle intended for River Cracraft,5.14,4.38,1.0,2023,12
4.0,1:55,2.0,9.0,LAC 9,30.0,34.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 5 yards (tackle by Derwin James),4.38,4.49,1.0,2023,12
4.0,1:48,3.0,4.0,LAC 4,36.0,34.0,"Tua Tagovailoa pass complete short right to Tyreek Hill for 4 yards, touchdown",4.49,7.0,1.0,2023,12
4.0,1:45,,,LAC 15,36.0,34.0,Jason Sanders kicks extra point no good,0.0,-1.0,1.0,2023,12
4.0,1:45,,,MIA 35,36.0,34.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,12
4.0,1:45,1.0,10.0,LAC 25,36.0,34.0,Justin Herbert pass complete short right to Gerald Everett for 10 yards (tackle by Kader Kohou),0.61,1.27,1.0,2023,12
4.0,1:38,1.0,10.0,LAC 35,36.0,34.0,"Justin Herbert pass incomplete short right. Penalty on Justin Herbert: Intentional Grounding, 11 yards (accepted)",1.27,-0.76,1.0,2023,12
4.0,1:18,2.0,21.0,LAC 24,36.0,34.0,Justin Herbert sacked by Zach Sieler for -8 yards,-0.76,-3.15,1.0,2023,12
4.0,1:09,,,,,,Timeout #2 by Los Angeles Chargers,,,1.0,2023,12
4.0,1:09,3.0,30.0,LAC 16,36.0,34.0,Justin Herbert pass complete deep right to Mike Williams for 17 yards (tackle by Jevon Holland),-3.15,-1.18,1.0,2023,12
4.0,1:01,,,,,,Timeout #3 by Los Angeles Chargers,,,1.0,2023,12
4.0,1:01,4.0,12.0,LAC 33,36.0,34.0,Justin Herbert sacked by and Jaelan Phillips for -9 yards and Justin Bethel for -9 yards,-1.18,-3.97,1.0,2023,12
4.0,0:55,1.0,10.0,LAC 24,36.0,34.0,Tua Tagovailoa kneels for -1 yards,3.97,3.3,1.0,2023,12
4.0,0:38,2.0,11.0,LAC 25,36.0,34.0,Tua Tagovailoa kneels for -1 yards,3.3,2.48,1.0,2023,12
