Quarter,Time,Down,ToGo,Location,HOU,BAL,Detail,EPB,EPA,week,year,game_id
4.0,2:56,1.0,10.0,BAL 45,9.0,25.0,C.J. Stroud pass incomplete short right intended for Robert Woods (defended by Ronald Darby),2.59,2.04,1.0,2023,6
4.0,2:49,2.0,10.0,BAL 45,9.0,25.0,C.J. Stroud sacked by Ar'Darius Washington for -8 yards,2.04,0.3,1.0,2023,6
4.0,2:11,3.0,18.0,HOU 47,9.0,25.0,C.J. Stroud scrambles left end for 5 yards (tackle by Brandon Stephens),0.3,0.07,1.0,2023,6
4.0,2:04,4.0,13.0,BAL 48,9.0,25.0,C.J. Stroud pass incomplete short right intended for Noah Brown,0.07,-2.13,1.0,2023,6
4.0,2:01,1.0,10.0,BAL 48,9.0,25.0,Gus Edwards left end for 3 yards (tackle by M.J. Stewart and Christian Harris),2.13,1.99,1.0,2023,6
4.0,1:54,2.0,7.0,HOU 49,9.0,25.0,Gus Edwards up the middle for 3 yards (tackle by Christian Harris and Will Anderson),1.99,1.68,1.0,2023,6
4.0,1:49,,,,,,Timeout #3 by Houston Texans,,,1.0,2023,6
4.0,1:49,,,,,,Timeout #2 by Baltimore Ravens,,,1.0,2023,6
4.0,1:49,3.0,4.0,HOU 46,9.0,25.0,Justice Hill left end for -4 yards (tackle by Denzel Perryman),1.68,-0.06,1.0,2023,6
4.0,1:04,,,,,,Timeout #3 by Baltimore Ravens,,,1.0,2023,6
4.0,1:04,4.0,8.0,HOU 50,9.0,25.0,"Jordan Stout punts 40 yards, fair catch by Tank Dell at HOU-10",-0.06,0.38,1.0,2023,6
4.0,0:58,1.0,10.0,HOU 10,9.0,25.0,C.J. Stroud pass complete short right to Mike Boone for 5 yards (tackle by Patrick Queen),-0.38,-0.35,1.0,2023,6
4.0,0:53,2.0,5.0,HOU 15,9.0,25.0,C.J. Stroud pass complete short middle to Xavier Hutchinson for 9 yards (tackle by Patrick Queen and Roquan Smith),-0.35,0.54,1.0,2023,6
4.0,0:36,1.0,10.0,HOU 24,9.0,25.0,C.J. Stroud pass complete short left to Nico Collins for 6 yards (tackle by Brandon Stephens),0.54,0.81,1.0,2023,6
4.0,0:17,2.0,4.0,HOU 30,9.0,25.0,C.J. Stroud pass complete short left to Mike Boone for 1 yard (tackle by Brandon Stephens),0.81,0.23,1.0,2023,6
4.0,0:10,3.0,3.0,HOU 31,9.0,25.0,C.J. Stroud pass incomplete short left intended for Tank Dell,0.23,-1.31,1.0,2023,6
4.0,0:08,4.0,3.0,HOU 31,9.0,25.0,C.J. Stroud pass complete short left to Mike Boone for 12 yards (tackle by Geno Stone),-1.31,1.8,1.0,2023,6
