Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA,week,year,game_id
4.0,3:28,1.0,10.0,PHI 41,25.0,20.0,Ezekiel Elliott left guard for 5 yards (tackle by Jordan Davis and Fletcher Cox),2.85,2.98,1.0,2023,13
4.0,2:59,2.0,5.0,PHI 36,25.0,20.0,Mac Jones sacked by and Jordan Davis for -7 yards and Josh Sweat for -7 yards,2.98,1.35,1.0,2023,13
4.0,2:29,3.0,12.0,PHI 43,25.0,20.0,Mac Jones pass incomplete deep middle intended for Kendrick Bourne (defended by Darius Slay),1.35,0.4,1.0,2023,13
4.0,2:24,4.0,12.0,PHI 43,25.0,20.0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",0.4,0.07,1.0,2023,13
4.0,2:24,,,,,,Timeout #3 by Philadelphia Eagles,,,1.0,2023,13
4.0,2:24,4.0,17.0,PHI 48,25.0,20.0,Mac Jones pass incomplete short right intended for Hunter Henry,0.07,-2.13,1.0,2023,13
4.0,2:20,1.0,10.0,PHI 48,25.0,20.0,Kenneth Gainwell left end for 3 yards (tackle by Ja'Whaun Bentley and Jabrill Peppers),2.13,1.99,1.0,2023,13
4.0,2:15,,,,,,Timeout #1 by New England Patriots,,,1.0,2023,13
4.0,2:15,2.0,7.0,NWE 49,25.0,20.0,Kenneth Gainwell right guard for 1 yard (tackle by Lawrence Guy and Mack Wilson),1.99,1.42,1.0,2023,13
4.0,2:09,,,,,,Timeout #2 by New England Patriots,,,1.0,2023,13
4.0,2:09,3.0,6.0,NWE 48,25.0,20.0,Jalen Hurts left tackle for 4 yards (tackle by Christian Barmore),1.42,0.33,1.0,2023,13
4.0,2:00,4.0,2.0,NWE 44,25.0,20.0,Jalen Hurts pass incomplete short middle intended for DeVonta Smith (defended by Christian Gonzalez),0.33,-1.86,1.0,2023,13
4.0,1:57,1.0,10.0,NWE 44,25.0,20.0,Mac Jones pass complete short left to Kendrick Bourne for 9 yards (tackle by Terrell Edmunds and James Bradberry),1.86,2.53,1.0,2023,13
4.0,1:39,2.0,1.0,PHI 47,25.0,20.0,Mac Jones pass incomplete short right intended for Demario Douglas (defended by Avonte Maddox),2.53,1.82,1.0,2023,13
4.0,1:35,3.0,1.0,PHI 47,25.0,20.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Justin Evans),1.82,2.72,1.0,2023,13
4.0,1:18,1.0,10.0,PHI 43,25.0,20.0,Mac Jones scrambles left end for 7 yards (tackle by Terrell Edmunds),2.72,3.12,1.0,2023,13
4.0,1:10,2.0,3.0,PHI 36,25.0,20.0,Mac Jones pass complete short right to Mike Gesicki for 17 yards (tackle by Terrell Edmunds),3.12,4.31,1.0,2023,13
4.0,1:02,1.0,10.0,PHI 19,25.0,20.0,Mac Jones pass incomplete deep left intended for Kayshon Boutte,4.31,3.75,1.0,2023,13
4.0,0:58,2.0,10.0,PHI 19,25.0,20.0,Mac Jones sacked by Jalen Carter for -3 yards,3.75,2.68,1.0,2023,13
4.0,0:51,,,,,,Timeout #3 by New England Patriots,,,1.0,2023,13
4.0,0:51,3.0,13.0,PHI 22,25.0,20.0,Mac Jones pass complete short left to Rhamondre Stevenson for 2 yards (tackle by Christian Elliss and Reed Blankenship),2.68,2.12,1.0,2023,13
4.0,0:29,4.0,11.0,PHI 20,25.0,20.0,"Mac Jones pass complete to Kayshon Boutte for 12 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Mac Jones pass incomplete short left intended for Kayshon Boutte (defended by Josh Jobe)",2.12,-0.28,1.0,2023,13
4.0,0:25,1.0,10.0,PHI 20,25.0,20.0,Jalen Hurts kneels for -1 yards,0.28,-0.46,1.0,2023,13
