Quarter,Time,Down,ToGo,Location,NOR,MIN,Detail,EPB,EPA,week,year,game_id
4.0,3:13,3.0,3.0,NOR 44,19.0,27.0,Jameis Winston pass deep right intended for Chris Olave is intercepted by Mekhi Blackmon at MIN-18 and returned for no gain (tackle by Chris Olave),1.09,-0.04,10.0,2023,144
4.0,3:06,1.0,10.0,MIN 18,19.0,27.0,Ty Chandler right tackle for no gain (tackle by Demario Davis),0.04,-0.49,10.0,2023,144
4.0,3:01,,,,,,Timeout #1 by New Orleans Saints,,,10.0,2023,144
4.0,3:01,2.0,10.0,MIN 18,19.0,27.0,Ty Chandler right end for -1 yards (tackle by Marcus Maye),-0.49,-1.34,10.0,2023,144
4.0,2:56,,,,,,Timeout #2 by New Orleans Saints,,,10.0,2023,144
4.0,2:56,3.0,11.0,MIN 17,19.0,27.0,Ty Chandler right guard for -1 yards (tackle by Bryan Bresee),-1.34,-2.39,10.0,2023,144
4.0,2:14,4.0,12.0,MIN 16,19.0,27.0,"Ryan Wright punts 45 yards, returned by Rashid Shaheed for 10 yards (tackle by NaJee Thompson)",-2.39,-2.19,10.0,2023,144
4.0,2:07,1.0,10.0,NOR 49,19.0,27.0,Jameis Winston pass incomplete deep right intended for A.T. Perry (defended by Camryn Bynum),2.19,1.65,10.0,2023,144
4.0,2:01,2.0,10.0,NOR 49,19.0,27.0,"Jameis Winston pass incomplete deep middle intended for Chris Olave. Penalty on Byron Murphy: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.65,2.52,10.0,2023,144
4.0,1:56,1.0,10.0,MIN 46,19.0,27.0,"Jameis Winston pass deep middle intended for Rashid Shaheed is intercepted by Byron Murphy at MIN-9 and returned for 4 yards (tackle by A.T. Perry). Penalty on Andrus Peat: Offensive Holding, 10 yards (declined)",2.52,0.32,10.0,2023,144
4.0,1:49,1.0,10.0,MIN 13,19.0,27.0,Ty Chandler left tackle for 3 yards (tackle by Malcolm Roach),-0.32,-0.44,10.0,2023,144
4.0,1:45,,,,,,Timeout #3 by New Orleans Saints,,,10.0,2023,144
4.0,1:45,2.0,7.0,MIN 16,19.0,27.0,Ty Chandler left tackle for 6 yards (tackle by Khalen Saunders),-0.44,-0.47,10.0,2023,144
4.0,0:59,,,,,,Timeout #1 by Minnesota Vikings,,,10.0,2023,144
4.0,0:59,3.0,2.0,MIN 21,19.0,27.0,Joshua Dobbs left end for no gain (tackle by Marcus Maye),-0.47,-1.96,10.0,2023,144
4.0,0:15,,,,,,Timeout #2 by Minnesota Vikings,,,10.0,2023,144
4.0,0:15,4.0,2.0,MIN 21,19.0,27.0,"Ryan Wright punts 38 yards, returned by Rashid Shaheed for 12 yards (tackle by Josh Metellus)",-1.96,-2.39,10.0,2023,144
4.0,0:06,1.0,10.0,MIN 48,19.0,27.0,Jameis Winston pass incomplete deep middle (defended by Byron Murphy),2.39,1.85,10.0,2023,144
