Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA,week,year,game_id
4.0,3:04,2.0,9.0,WAS 30,19.0,26.0,Sam Howell pass complete short middle to Logan Thomas for 7 yards (tackle by Tre Brown),0.46,0.7,10.0,2023,148
4.0,2:23,3.0,2.0,WAS 37,19.0,26.0,Sam Howell pass complete short middle to Terry McLaurin for 11 yards (tackle by Devon Witherspoon),0.7,2.13,10.0,2023,148
4.0,2:00,1.0,10.0,WAS 48,19.0,26.0,Sam Howell pass incomplete deep right,2.13,1.58,10.0,2023,148
4.0,1:55,2.0,10.0,WAS 48,19.0,26.0,Sam Howell pass incomplete short right intended for Jamison Crowder,1.58,0.89,10.0,2023,148
4.0,1:48,,,,,,Timeout #1 by Washington Commanders,,,10.0,2023,148
4.0,1:48,3.0,10.0,WAS 48,19.0,26.0,Sam Howell pass complete short right to Antonio Gibson for 9 yards (tackle by Jamal Adams),0.89,0.4,10.0,2023,148
4.0,1:28,,,,,,Timeout #2 by Washington Commanders,,,10.0,2023,148
4.0,1:28,,,,,,Timeout #1 by Seattle Seahawks,,,10.0,2023,148
4.0,1:28,4.0,1.0,SEA 43,19.0,26.0,Sam Howell pass complete short middle to Terry McLaurin for 8 yards (tackle by Tre Brown),0.4,3.25,10.0,2023,148
4.0,1:13,1.0,10.0,SEA 35,19.0,26.0,Sam Howell pass incomplete short middle intended for Jahan Dotson (defended by Bobby Wagner),3.25,2.7,10.0,2023,148
4.0,1:08,2.0,10.0,SEA 35,19.0,26.0,Sam Howell pass incomplete deep middle intended for Byron Pringle,2.7,2.01,10.0,2023,148
4.0,1:02,3.0,10.0,SEA 35,25.0,26.0,"Sam Howell pass complete deep middle to Dyami Brown for 35 yards, touchdown",2.01,7.0,10.0,2023,148
4.0,0:52,,,SEA 15,26.0,26.0,Joey Slye kicks extra point good,0.0,0.0,10.0,2023,148
4.0,0:52,,,WAS 35,26.0,26.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,148
4.0,0:52,1.0,10.0,SEA 25,26.0,26.0,Geno Smith pass complete short left to Zach Charbonnet for 3 yards (tackle by Jartavius Martin),0.61,0.47,10.0,2023,148
4.0,0:38,,,,,,Timeout #2 by Seattle Seahawks,,,10.0,2023,148
4.0,0:38,2.0,7.0,SEA 28,26.0,26.0,Geno Smith pass complete short left to Zach Charbonnet for 3 yards (tackle by Kamren Curl),0.47,0.17,10.0,2023,148
4.0,0:33,3.0,4.0,SEA 31,26.0,26.0,Geno Smith pass complete short left to D.K. Metcalf for 17 yards (tackle by Percy Butler and Benjamin St-Juste),0.17,2.13,10.0,2023,148
4.0,0:28,,,,,,Timeout #3 by Seattle Seahawks,,,10.0,2023,148
4.0,0:28,1.0,10.0,SEA 48,26.0,26.0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Benjamin St-Juste),2.13,1.58,10.0,2023,148
4.0,0:24,2.0,10.0,SEA 48,26.0,26.0,Geno Smith pass complete short middle to D.K. Metcalf for 27 yards (tackle by Percy Butler and Benjamin St-Juste),1.58,3.91,10.0,2023,148
4.0,0:04,1.0,10.0,WAS 25,26.0,26.0,Geno Smith spiked the ball,3.91,3.36,10.0,2023,148
4.0,0:03,,,,,,Timeout #3 by Washington Commanders,,,10.0,2023,148
4.0,0:03,2.0,10.0,WAS 25,26.0,29.0,Jason Myers 43 yard field goal good,3.36,3.0,10.0,2023,148
