Quarter,Time,Down,ToGo,Location,HOU,CIN,Detail,EPB,EPA,week,year,game_id
4.0,2:26,3.0,3.0,HOU 32,27.0,24.0,C.J. Stroud pass incomplete deep right intended for Tank Dell (defended by DJ Turner),0.3,-1.24,10.0,2023,139
4.0,2:20,4.0,3.0,HOU 32,27.0,24.0,"Cameron Johnston punts 47 yards, returned by Trenton Irwin for 8 yards (tackle by Blake Cashman)",-1.24,-0.87,10.0,2023,139
4.0,2:10,1.0,10.0,CIN 29,27.0,24.0,Joe Burrow pass incomplete short right,0.87,0.33,10.0,2023,139
4.0,2:04,2.0,10.0,CIN 29,27.0,24.0,Joe Burrow pass complete short middle to Tyler Boyd for 64 yards (tackle by DeAndre Houston-Carson),0.33,5.6,10.0,2023,139
4.0,1:53,1.0,7.0,HOU 7,27.0,24.0,Joe Burrow sacked by Sheldon Rankins for -7 yards,5.6,3.58,10.0,2023,139
4.0,1:46,,,,,,Timeout #1 by Houston Texans,,,10.0,2023,139
4.0,1:46,2.0,14.0,HOU 14,27.0,24.0,Joe Burrow up the middle for 1 yard (tackle by Maliek Collins),3.58,3.06,10.0,2023,139
4.0,1:42,,,,,,Timeout #2 by Houston Texans,,,10.0,2023,139
4.0,1:42,3.0,13.0,HOU 13,27.0,24.0,Joe Burrow pass incomplete short middle intended for Tyler Boyd,3.06,2.57,10.0,2023,139
4.0,1:37,4.0,13.0,HOU 13,27.0,27.0,Evan McPherson 31 yard field goal good,2.57,3.0,10.0,2023,139
4.0,1:33,,,CIN 35,27.0,27.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,139
4.0,1:33,1.0,10.0,HOU 25,27.0,27.0,C.J. Stroud pass incomplete deep left intended for Tank Dell,0.61,0.06,10.0,2023,139
4.0,1:26,2.0,10.0,HOU 25,27.0,27.0,Devin Singletary left tackle for 4 yards (tackle by Logan Wilson and Germaine Pratt),0.06,-0.1,10.0,2023,139
4.0,0:44,3.0,6.0,HOU 29,27.0,27.0,C.J. Stroud pass complete deep middle to Dalton Schultz for 25 yards (tackle by Cam Taylor-Britt),-0.1,2.52,10.0,2023,139
4.0,0:23,1.0,10.0,CIN 46,27.0,27.0,C.J. Stroud pass complete short left to Mike Boone for 4 yards (tackle by Cam Taylor-Britt),2.52,2.52,10.0,2023,139
4.0,0:15,2.0,6.0,CIN 42,27.0,27.0,C.J. Stroud pass complete short left to Noah Brown for 22 yards (tackle by Daxton Hill and DJ Turner),2.52,4.24,10.0,2023,139
4.0,0:05,,,,,,Timeout #3 by Houston Texans,,,10.0,2023,139
4.0,0:05,1.0,10.0,CIN 20,30.0,27.0,Matt Ammendola 38 yard field goal good,4.24,3.0,10.0,2023,139
