Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA,week,year,game_id
3.0,5:15,2.0,2.0,NWE 14,7.0,3.0,Rhamondre Stevenson up the middle for 9 yards (tackle by DeForest Buckner and Shaquille Leonard),-0.17,0.48,10.0,2023,138
3.0,4:35,1.0,10.0,NWE 23,7.0,3.0,Rhamondre Stevenson left end for 8 yards (tackle by Taven Bryan),0.48,1.01,10.0,2023,138
3.0,4:01,2.0,2.0,NWE 31,7.0,3.0,Rhamondre Stevenson right guard for 1 yard (tackle by Samson Ebukam and Shaquille Leonard),1.01,0.43,10.0,2023,138
3.0,3:31,3.0,1.0,NWE 32,7.0,3.0,"Penalty on Conor McDermott: False Start, 4 yards (accepted) (no play)",0.43,-0.1,10.0,2023,138
3.0,3:10,3.0,5.0,NWE 28,7.0,3.0,Mac Jones pass complete short left to JuJu Smith-Schuster for 9 yards (tackle by Jaylon Jones),-0.1,1.4,10.0,2023,138
3.0,2:47,1.0,10.0,NWE 37,7.0,3.0,Rhamondre Stevenson right guard for 8 yards (tackle by Rodney Thomas),1.4,1.94,10.0,2023,138
3.0,2:20,2.0,2.0,NWE 45,7.0,3.0,Ezekiel Elliott left guard for 5 yards (tackle by Zaire Franklin and Shaquille Leonard),1.94,2.26,10.0,2023,138
3.0,1:38,1.0,10.0,NWE 50,7.0,3.0,Mac Jones scrambles left end for 15 yards (tackle by Adetomiwa Adebawore),2.26,3.25,10.0,2023,138
3.0,1:00,1.0,10.0,IND 35,7.0,3.0,Ezekiel Elliott right guard for 9 yards (tackle by Julian Blackmon),3.25,3.92,10.0,2023,138
3.0,0:26,2.0,1.0,IND 26,7.0,3.0,Mac Jones right guard for 2 yards (tackle by Shaquille Leonard),3.92,3.97,10.0,2023,138
4.0,15:00,1.0,10.0,IND 24,7.0,3.0,Mac Jones pass complete short left to Ezekiel Elliott for 15 yards (tackle by Zaire Franklin),3.97,5.14,10.0,2023,138
4.0,14:16,1.0,9.0,IND 9,7.0,3.0,Ezekiel Elliott up the middle for 4 yards (tackle by E.J. Speed),5.14,5.15,10.0,2023,138
4.0,13:33,2.0,5.0,IND 5,7.0,3.0,Ezekiel Elliott right guard for no gain (tackle by Kwity Paye and Zaire Franklin),5.15,4.26,10.0,2023,138
4.0,12:51,3.0,5.0,IND 5,7.0,3.0,Mac Jones pass incomplete short right intended for Hunter Henry,4.26,3.01,10.0,2023,138
4.0,12:47,4.0,5.0,IND 5,7.0,6.0,Chad Ryland 24 yard field goal good,3.01,3.0,10.0,2023,138
4.0,12:44,,,NWE 35,7.0,6.0,"Chad Ryland kicks off 60 yards, returned by Isaiah McKenzie for 42 yards (tackle by Ty Montgomery)",0.0,2.06,10.0,2023,138
4.0,12:37,1.0,10.0,IND 47,7.0,6.0,Jonathan Taylor right guard for 5 yards (tackle by Davon Godchaux),2.06,2.19,10.0,2023,138
4.0,11:58,2.0,5.0,NWE 48,7.0,6.0,Jonathan Taylor right guard for 2 yards (tackle by Davon Godchaux and Lawrence Guy),2.19,1.75,10.0,2023,138
4.0,11:15,3.0,3.0,NWE 46,7.0,6.0,Gardner Minshew pass complete short right to Michael Pittman for 14 yards (tackle by Kyle Dugger),1.75,3.45,10.0,2023,138
4.0,10:28,1.0,10.0,NWE 32,7.0,6.0,Jonathan Taylor left tackle for 4 yards (tackle by Jahlani Tavai and Deatrich Wise),3.45,3.44,10.0,2023,138
4.0,9:48,2.0,6.0,NWE 28,7.0,6.0,Gardner Minshew pass complete short left to Isaiah McKenzie for -5 yards (tackle by Shaun Wade),3.44,2.08,10.0,2023,138
4.0,9:04,3.0,11.0,NWE 33,7.0,6.0,Gardner Minshew pass incomplete short left intended for Michael Pittman (defended by Deatrich Wise),2.08,1.15,10.0,2023,138
4.0,8:58,4.0,11.0,NWE 33,10.0,6.0,Matt Gay 51 yard field goal good,1.15,3.0,10.0,2023,138
4.0,8:54,,,IND 35,10.0,6.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,138
4.0,8:54,1.0,10.0,NWE 25,10.0,6.0,"Mac Jones pass complete short left to Kayshon Boutte for 11 yards (tackle by Jaylon Jones). Penalty on Zaire Franklin: Unnecessary Roughness / Defense, 15 yards (accepted)",0.61,2.32,10.0,2023,138
4.0,8:30,1.0,10.0,IND 49,10.0,6.0,"Ezekiel Elliott right guard for no gain (tackle by Jaylon Jones). Penalty on JuJu Smith-Schuster: Illegal Shift, 5 yards (accepted) (no play)",2.32,1.99,10.0,2023,138
4.0,8:01,1.0,15.0,NWE 46,10.0,6.0,Mac Jones pass incomplete short left intended for Hunter Henry (defended by Julian Blackmon),1.99,1.11,10.0,2023,138
4.0,7:56,2.0,15.0,NWE 46,10.0,6.0,Mac Jones pass complete short middle to Demario Douglas for 9 yards (tackle by DeForest Buckner and Zaire Franklin),1.11,1.62,10.0,2023,138
4.0,7:26,3.0,6.0,IND 45,10.0,6.0,Mac Jones pass complete short left to Demario Douglas for 21 yards (tackle by Kenny Moore),1.62,3.97,10.0,2023,138
4.0,6:54,1.0,10.0,IND 24,10.0,6.0,Rhamondre Stevenson right guard for 7 yards (tackle by Shaquille Leonard),3.97,4.46,10.0,2023,138
4.0,6:21,2.0,3.0,IND 17,10.0,6.0,Rhamondre Stevenson right tackle for -2 yards (tackle by Taven Bryan),4.46,3.41,10.0,2023,138
4.0,5:39,3.0,5.0,IND 19,10.0,6.0,Rhamondre Stevenson up the middle for 6 yards (tackle by DeForest Buckner),3.41,4.71,10.0,2023,138
4.0,4:59,1.0,10.0,IND 13,10.0,6.0,Ezekiel Elliott right guard for -2 yards (tackle by DeForest Buckner),4.71,3.76,10.0,2023,138
4.0,4:25,2.0,12.0,IND 15,10.0,6.0,Mac Jones pass short right intended for Mike Gesicki is intercepted by Julian Blackmon at IND-1 and returned for 4 yards (tackle by Cole Strange),3.76,0.38,10.0,2023,138
4.0,4:16,1.0,10.0,IND 5,10.0,6.0,Jonathan Taylor right guard for 1 yard (tackle by Anfernee Jennings),-0.38,-0.71,10.0,2023,138
4.0,3:32,2.0,9.0,IND 6,10.0,6.0,Jonathan Taylor right guard for 8 yards (tackle by Mack Wilson),-0.71,-0.37,10.0,2023,138
4.0,2:52,3.0,1.0,IND 14,10.0,6.0,"Penalty on Wesley French: False Start, 4 yards (accepted) (no play)",-0.37,-0.84,10.0,2023,138
4.0,2:52,3.0,5.0,IND 10,10.0,6.0,Gardner Minshew pass complete deep right to Josh Downs for 28 yards (tackle by Jalen Mills),-0.84,1.47,10.0,2023,138
4.0,2:38,,,,,,Timeout #1 by New England Patriots,,,10.0,2023,138
4.0,2:38,1.0,10.0,IND 38,10.0,6.0,Jonathan Taylor left guard for -3 yards (tackle by Christian Barmore),1.47,0.52,10.0,2023,138
4.0,2:35,,,,,,Timeout #2 by New England Patriots,,,10.0,2023,138
4.0,2:35,2.0,13.0,IND 35,10.0,6.0,Jonathan Taylor left tackle for 2 yards (tackle by Davon Godchaux and Kyle Dugger),0.52,0.1,10.0,2023,138
4.0,2:30,,,,,,Timeout #3 by New England Patriots,,,10.0,2023,138
4.0,2:30,3.0,11.0,IND 37,10.0,6.0,Gardner Minshew pass complete short left to Michael Pittman for 9 yards (tackle by Shaun Wade),0.1,-0.32,10.0,2023,138
4.0,2:00,4.0,2.0,IND 46,10.0,6.0,Rigoberto Sanchez punts 40 yards out of bounds,-0.32,0.28,10.0,2023,138
4.0,1:52,1.0,10.0,NWE 14,10.0,6.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for 5 yards (tackle by Zaire Franklin),-0.28,-0.04,10.0,2023,138
4.0,1:46,2.0,5.0,NWE 19,10.0,6.0,Bailey Zappe pass incomplete short middle intended for Demario Douglas,-0.04,-0.8,10.0,2023,138
4.0,1:42,3.0,5.0,NWE 19,10.0,6.0,Bailey Zappe pass complete short right to Hunter Henry for 11 yards (tackle by Zaire Franklin),-0.8,0.94,10.0,2023,138
4.0,1:25,1.0,10.0,NWE 30,10.0,6.0,Bailey Zappe pass incomplete short middle,0.94,0.39,10.0,2023,138
4.0,1:21,2.0,10.0,NWE 30,10.0,6.0,Bailey Zappe pass incomplete short right intended for Demario Douglas,0.39,-0.3,10.0,2023,138
4.0,1:18,3.0,10.0,NWE 30,10.0,6.0,Bailey Zappe pass complete short middle to Demario Douglas for 9 yards (tackle by Julian Blackmon),-0.3,-0.78,10.0,2023,138
4.0,0:57,4.0,1.0,NWE 39,10.0,6.0,Rhamondre Stevenson left guard for 1 yard (tackle by Tyquan Lewis),-0.78,1.6,10.0,2023,138
4.0,0:36,1.0,10.0,NWE 40,10.0,6.0,Bailey Zappe pass deep middle intended for Demario Douglas is intercepted by Rodney Thomas at IND-37 and returned for 5 yards,1.6,-1.73,10.0,2023,138
4.0,0:31,1.0,10.0,IND 42,10.0,6.0,Gardner Minshew kneels for -1 yards,1.73,1.05,10.0,2023,138
